method,stress_level,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,0.000000,10,0.527327,0.004246,0.241447,0.002449,0.195353,0.001960,0.496528,0.014347,0.784028,0.005349,0.326042,0.043393,0.124306,0.000907,0.301578,0.002022,0.179061,0.005887,0.119971,0.006198,0.908333,0.005387,0.411111,0.021382
active_relational_abstraction,0.110000,10,0.525744,0.006184,0.238955,0.004357,0.192818,0.003177,0.472222,0.016515,0.790278,0.011076,0.347222,0.058868,0.124653,0.000681,0.304887,0.003890,0.173795,0.009559,0.120269,0.009388,0.914931,0.011032,0.433333,0.033797
active_relational_abstraction,0.220000,10,0.523290,0.004395,0.238113,0.003574,0.191702,0.002439,0.452778,0.027713,0.790625,0.009465,0.377083,0.034257,0.124306,0.000907,0.306074,0.002756,0.171333,0.007228,0.118608,0.007069,0.914931,0.009476,0.465278,0.019435
active_relational_abstraction,0.330000,10,0.518425,0.005774,0.237503,0.004790,0.191522,0.003561,0.426389,0.013297,0.793750,0.009419,0.368056,0.051009,0.123958,0.001040,0.306445,0.004296,0.171235,0.008939,0.114071,0.009298,0.917708,0.009301,0.451389,0.036240
active_relational_abstraction,0.440000,10,0.513939,0.003864,0.236913,0.003010,0.191620,0.002691,0.415278,0.018795,0.791319,0.008017,0.336806,0.033846,0.122917,0.001815,0.307040,0.002569,0.172005,0.006527,0.109606,0.006475,0.914236,0.008963,0.451042,0.015199
active_relational_abstraction,0.560000,10,0.508140,0.003467,0.236331,0.002378,0.191690,0.001769,0.398264,0.019542,0.793403,0.006108,0.324306,0.044917,0.122917,0.001815,0.306865,0.002246,0.172787,0.005365,0.104169,0.005034,0.916319,0.005955,0.442708,0.022440
active_relational_abstraction,0.670000,10,0.508136,0.008458,0.234151,0.006558,0.189447,0.005272,0.388194,0.017914,0.798958,0.013666,0.371875,0.072942,0.120833,0.002646,0.309865,0.006173,0.166177,0.013447,0.105783,0.013459,0.919792,0.015401,0.465972,0.042486
active_relational_abstraction,0.780000,10,0.504072,0.002666,0.232109,0.002491,0.188651,0.002187,0.390278,0.021716,0.801042,0.006258,0.339931,0.024777,0.122569,0.001772,0.312213,0.002797,0.164625,0.004651,0.102491,0.004514,0.923611,0.007102,0.472917,0.015211
active_relational_abstraction,0.890000,10,0.501831,0.003864,0.230886,0.002695,0.186997,0.002406,0.358681,0.017835,0.802778,0.004949,0.371181,0.030103,0.120486,0.002042,0.313389,0.003209,0.161937,0.005776,0.101656,0.005780,0.923264,0.005315,0.502431,0.025078
active_relational_abstraction,1.000000,10,0.498315,0.003167,0.229557,0.002878,0.187108,0.002328,0.330208,0.017349,0.804167,0.007400,0.394792,0.032702,0.122569,0.001453,0.314991,0.002781,0.159882,0.005091,0.098158,0.005368,0.926736,0.007756,0.492708,0.015063
grounded_geometric_tamp,0.000000,10,0.599487,0.006443,0.237570,0.004305,0.192398,0.002978,0.325694,0.010435,0.769792,0.008056,0.285417,0.031035,0.020486,0.004588,0.348949,0.003122,0.161877,0.008190,0.176611,0.009573,0.790278,0.011576,0.591667,0.015625
grounded_geometric_tamp,0.110000,10,0.600497,0.004677,0.233102,0.003338,0.188441,0.002473,0.330556,0.021659,0.776042,0.006108,0.324653,0.035089,0.031597,0.006291,0.352925,0.002821,0.152589,0.006048,0.181392,0.006959,0.807639,0.010155,0.605903,0.012311
grounded_geometric_tamp,0.220000,10,0.600796,0.005474,0.228965,0.004718,0.185401,0.003212,0.332639,0.014087,0.787847,0.008515,0.320833,0.037826,0.028472,0.007159,0.356007,0.003730,0.145795,0.007458,0.184985,0.008491,0.816319,0.012931,0.625000,0.015251
grounded_geometric_tamp,0.330000,10,0.597620,0.003032,0.227022,0.003390,0.184377,0.002627,0.315278,0.019901,0.788889,0.005052,0.341667,0.027620,0.032639,0.004887,0.357652,0.003000,0.143286,0.004940,0.182981,0.005478,0.821528,0.009029,0.629861,0.016459
grounded_geometric_tamp,0.440000,10,0.592828,0.009594,0.225876,0.004562,0.184000,0.003407,0.302083,0.012174,0.779861,0.008620,0.340625,0.041749,0.044444,0.005721,0.359029,0.003620,0.144302,0.009703,0.178548,0.012323,0.824306,0.012309,0.628819,0.016151
grounded_geometric_tamp,0.560000,10,0.590628,0.003389,0.224952,0.002544,0.183569,0.002144,0.300000,0.020796,0.786806,0.004780,0.334028,0.041518,0.040278,0.004328,0.359074,0.002517,0.140958,0.003961,0.177175,0.004839,0.827083,0.007372,0.628125,0.010117
grounded_geometric_tamp,0.670000,10,0.586795,0.006701,0.220794,0.004149,0.179784,0.003414,0.290625,0.014946,0.789931,0.009257,0.368403,0.041402,0.045833,0.006480,0.363602,0.003119,0.137145,0.008600,0.176576,0.009773,0.835764,0.013986,0.658333,0.018657
grounded_geometric_tamp,0.780000,10,0.584236,0.004748,0.221770,0.003963,0.181099,0.002712,0.277778,0.017833,0.787500,0.007975,0.316667,0.026000,0.046875,0.004785,0.363000,0.002653,0.136825,0.005963,0.172758,0.006947,0.834375,0.009190,0.657639,0.012921
grounded_geometric_tamp,0.890000,10,0.587284,0.004665,0.211376,0.003645,0.173023,0.003031,0.263194,0.024089,0.803819,0.007541,0.387847,0.037565,0.060417,0.006668,0.370915,0.003069,0.122289,0.005547,0.184325,0.006306,0.864236,0.009807,0.689236,0.017956
grounded_geometric_tamp,1.000000,10,0.579883,0.008489,0.215459,0.006220,0.177493,0.004712,0.267361,0.016073,0.790972,0.013717,0.379167,0.018756,0.059375,0.007756,0.368078,0.004828,0.128808,0.011969,0.172530,0.013121,0.850347,0.018719,0.679167,0.024247
llm_tamp_failure_reasoning,0.000000,10,0.576125,0.004994,0.230218,0.006240,0.187287,0.004625,0.429861,0.021612,0.785764,0.012091,0.383681,0.052238,0.029861,0.007259,0.347968,0.004832,0.149901,0.009650,0.161604,0.009841,0.815625,0.017050,0.579861,0.022911
