method,stress_level,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
llm_tamp_failure_reasoning,0.110000,10,0.569638,0.004611,0.230885,0.005321,0.187008,0.003649,0.427083,0.025098,0.786458,0.008563,0.374653,0.040523,0.031250,0.005463,0.347920,0.004000,0.151159,0.008220,0.154953,0.008330,0.817708,0.013353,0.577778,0.015821
llm_tamp_failure_reasoning,0.220000,10,0.568224,0.003042,0.227270,0.002823,0.184237,0.002200,0.413194,0.018205,0.788194,0.005463,0.368056,0.040682,0.036806,0.004991,0.350835,0.002770,0.145743,0.004324,0.156406,0.004686,0.825000,0.007537,0.596528,0.011647
llm_tamp_failure_reasoning,0.330000,10,0.565337,0.004377,0.223988,0.005954,0.181994,0.004274,0.411458,0.016801,0.792014,0.010758,0.400000,0.048758,0.040625,0.006884,0.353771,0.004698,0.141794,0.008499,0.155805,0.008500,0.832639,0.015109,0.612153,0.020342
llm_tamp_failure_reasoning,0.440000,10,0.558025,0.004935,0.224047,0.005473,0.182437,0.004030,0.376389,0.016552,0.788889,0.009667,0.350694,0.054482,0.041319,0.006532,0.353294,0.004812,0.145002,0.008090,0.148340,0.008259,0.830208,0.013361,0.604514,0.018161
llm_tamp_failure_reasoning,0.560000,10,0.563888,0.006209,0.217577,0.005302,0.178092,0.004249,0.369444,0.011306,0.799653,0.007319,0.430556,0.052891,0.050347,0.008742,0.358746,0.004599,0.131103,0.008887,0.158794,0.009739,0.850000,0.014660,0.626736,0.024876
llm_tamp_failure_reasoning,0.670000,10,0.556244,0.004100,0.217586,0.004678,0.177670,0.003705,0.349653,0.014023,0.793403,0.009088,0.390278,0.057856,0.056944,0.005291,0.359340,0.003373,0.133267,0.006899,0.151199,0.007473,0.850347,0.011676,0.638889,0.015082
llm_tamp_failure_reasoning,0.780000,10,0.553825,0.006395,0.210097,0.004042,0.173294,0.002947,0.342708,0.014877,0.805208,0.010117,0.434375,0.026927,0.057986,0.005078,0.365269,0.003068,0.125827,0.008060,0.153783,0.009160,0.863194,0.011306,0.665625,0.013537
llm_tamp_failure_reasoning,0.890000,10,0.544427,0.003827,0.215324,0.005010,0.176030,0.003488,0.327431,0.021713,0.795486,0.009702,0.400694,0.019808,0.055556,0.006171,0.360523,0.003752,0.134062,0.006713,0.141378,0.007134,0.851042,0.011937,0.649653,0.020327
llm_tamp_failure_reasoning,1.000000,10,0.536774,0.005275,0.214812,0.006156,0.176493,0.004860,0.315625,0.016591,0.795139,0.011388,0.379514,0.035567,0.058681,0.007062,0.361664,0.004993,0.136284,0.009457,0.133210,0.009747,0.853819,0.016055,0.651736,0.025344
oracle_mechanics_preserving_planner,0.000000,10,0.528498,0.000413,0.217399,0.000472,0.177870,0.000445,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255025,0.000000,0.131802,0.000207,0.167230,0.000857,1.000000,0.000000,0.429861,0.006400
oracle_mechanics_preserving_planner,0.110000,10,0.522841,0.000384,0.218010,0.000395,0.177866,0.000429,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255025,0.000000,0.132842,0.000267,0.161222,0.000818,1.000000,0.000000,0.432986,0.007991
oracle_mechanics_preserving_planner,0.220000,10,0.517778,0.000366,0.217949,0.000450,0.177600,0.000466,1.000000,0.000000,0.875000,0.000000,0.000347,0.000681,0.000000,0.000000,0.255025,0.000000,0.133555,0.000225,0.156386,0.000781,1.000000,0.000000,0.441319,0.010368
oracle_mechanics_preserving_planner,0.330000,10,0.512428,0.000585,0.218016,0.000600,0.177793,0.000672,1.000000,0.000000,0.875000,0.000000,0.000347,0.000681,0.000000,0.000000,0.255025,0.000000,0.134448,0.000318,0.150857,0.001252,1.000000,0.000000,0.432986,0.011208
oracle_mechanics_preserving_planner,0.440000,10,0.507741,0.000508,0.217246,0.000538,0.177833,0.000501,1.000000,0.000000,0.875000,0.000000,0.000347,0.000681,0.000000,0.000000,0.255025,0.000000,0.135024,0.000332,0.146587,0.001075,1.000000,0.000000,0.440972,0.008366
oracle_mechanics_preserving_planner,0.560000,10,0.502144,0.000394,0.217077,0.000483,0.177776,0.000630,1.000000,0.000000,0.875000,0.000000,0.000347,0.000681,0.000000,0.000000,0.255025,0.000000,0.135826,0.000164,0.141130,0.000837,1.000000,0.000000,0.432986,0.009020
oracle_mechanics_preserving_planner,0.670000,10,0.496478,0.000539,0.217713,0.000617,0.177770,0.000662,1.000000,0.000000,0.875000,0.000000,0.001389,0.002079,0.000000,0.000000,0.255025,0.000000,0.136861,0.000342,0.135099,0.001171,1.000000,0.000000,0.438542,0.007177
oracle_mechanics_preserving_planner,0.780000,10,0.491072,0.000485,0.217569,0.000587,0.178444,0.000789,1.000000,0.000000,0.875000,0.000000,0.001736,0.001522,0.000000,0.000000,0.255025,0.000000,0.137823,0.000290,0.129292,0.001085,1.000000,0.000000,0.433333,0.012123
oracle_mechanics_preserving_planner,0.890000,10,0.486301,0.000443,0.217406,0.000575,0.177690,0.000559,1.000000,0.000000,0.875000,0.000000,0.003819,0.002368,0.000000,0.000000,0.255025,0.000000,0.138435,0.000245,0.125158,0.000918,1.000000,0.000000,0.443056,0.008254
oracle_mechanics_preserving_planner,1.000000,10,0.480434,0.000584,0.217760,0.000742,0.178630,0.000703,1.000000,0.000000,0.875000,0.000000,0.004861,0.003544,0.000000,0.000000,0.255025,0.000000,0.139631,0.000314,0.118409,0.001210,1.000000,0.000000,0.435764,0.006749
physics_aware_tamp,0.000000,10,0.678688,0.002573,0.183998,0.002165,0.149234,0.001343,0.404861,0.015983,0.872917,0.002079,0.285069,0.053620,0.018750,0.004445,0.407427,0.001592,0.080079,0.003381,0.293401,0.004052,0.891667,0.005538,0.797222,0.009899
physics_aware_tamp,0.110000,10,0.677877,0.002076,0.181875,0.001442,0.147610,0.000856,0.383333,0.014390,0.873264,0.001522,0.310069,0.029509,0.025347,0.004543,0.409771,0.001358,0.075830,0.002346,0.294007,0.002910,0.898611,0.004280,0.806597,0.007319
physics_aware_tamp,0.220000,10,0.674061,0.002384,0.181547,0.001261,0.147141,0.001025,0.377778,0.014624,0.870833,0.001698,0.301736,0.042361,0.027083,0.005052,0.410136,0.001412,0.075593,0.002365,0.290565,0.003192,0.897917,0.004083,0.810417,0.007937
physics_aware_tamp,0.330000,10,0.667299,0.003596,0.181473,0.002622,0.147377,0.001970,0.374653,0.011498,0.868403,0.001222,0.270833,0.034058,0.031597,0.006532,0.410316,0.002004,0.076859,0.003974,0.283600,0.005500,0.900000,0.007159,0.810764,0.012722
physics_aware_tamp,0.440000,10,0.665790,0.003865,0.180371,0.002603,0.146974,0.001946,0.378125,0.011894,0.868056,0.002485,0.288194,0.035158,0.029861,0.006970,0.410915,0.002526,0.075433,0.004517,0.282769,0.005483,0.897917,0.008192,0.808333,0.010435
physics_aware_tamp,0.560000,10,0.660945,0.004471,0.177610,0.002766,0.145441,0.001742,0.349306,0.013581,0.865625,0.003052,0.307639,0.041856,0.042361,0.004737,0.413335,0.002104,0.073175,0.004604,0.279613,0.005829,0.907986,0.006436,0.815625,0.008575
physics_aware_tamp,0.670000,10,0.655356,0.003526,0.177871,0.002416,0.144871,0.001769,0.348611,0.013581,0.865625,0.003522,0.315972,0.034997,0.042361,0.004399,0.413653,0.002064,0.073590,0.003956,0.274149,0.004756,0.907986,0.006192,0.821181,0.007403
physics_aware_tamp,0.780000,10,0.651076,0.004824,0.174315,0.002183,0.143064,0.001732,0.335417,0.021454,0.866319,0.002325,0.327778,0.053733,0.051736,0.004807,0.416703,0.001878,0.070738,0.003484,0.271952,0.005417,0.918056,0.005193,0.841319,0.011116
physics_aware_tamp,0.890000,10,0.647923,0.003519,0.173839,0.002766,0.142105,0.001818,0.327083,0.023241,0.869097,0.001772,0.339931,0.060391,0.050347,0.005850,0.416591,0.002311,0.069224,0.003757,0.269812,0.005053,0.919444,0.006154,0.828819,0.010976
physics_aware_tamp,1.000000,10,0.641375,0.003551,0.174403,0.002394,0.143350,0.001574,0.326736,0.023563,0.865625,0.001453,0.310417,0.031567,0.051389,0.005252,0.416774,0.002420,0.071451,0.003422,0.261965,0.004174,0.917014,0.005689,0.831597,0.011309
proposed_abstraction_failure_audit_v4,0.000000,10,0.561620,0.001435,0.219144,0.001250,0.179981,0.001214,0.648958,0.016467,0.873958,0.001453,0.423611,0.030554,0.049653,0.004975,0.337878,0.001539,0.136011,0.001457,0.163021,0.001816,1.000000,0.000000,0.388194,0.009878
proposed_abstraction_failure_audit_v4,0.110000,10,0.554597,0.001325,0.219784,0.001580,0.179965,0.001218,0.611458,0.015097,0.873264,0.001134,0.410417,0.053180,0.047917,0.005810,0.337644,0.001830,0.138326,0.001174,0.155737,0.001155,1.000000,0.000000,0.392361,0.017747
proposed_abstraction_failure_audit_v4,0.220000,10,0.549815,0.001714,0.219243,0.000968,0.179270,0.001061,0.606250,0.019201,0.873264,0.001522,0.410417,0.038375,0.052431,0.006687,0.338426,0.001014,0.138501,0.001299,0.151441,0.001494,1.000000,0.000000,0.402431,0.013514
proposed_abstraction_failure_audit_v4,0.330000,10,0.543402,0.002080,0.218439,0.001313,0.178734,0.001052,0.563542,0.022158,0.869792,0.002732,0.414583,0.030725,0.051389,0.005985,0.339418,0.001191,0.139842,0.001806,0.145464,0.002213,1.000000,0.000000,0.405208,0.012835
proposed_abstraction_failure_audit_v4,0.440000,10,0.539071,0.001712,0.218615,0.000729,0.179589,0.000762,0.557639,0.014568,0.871528,0.001757,0.399306,0.036775,0.057639,0.004560,0.338395,0.000565,0.140767,0.001430,0.140845,0.001723,1.000000,0.000000,0.400347,0.008430
proposed_abstraction_failure_audit_v4,0.560000,10,0.531469,0.002208,0.217215,0.001553,0.178592,0.001212,0.544444,0.012984,0.871875,0.002577,0.415625,0.041682,0.051042,0.005653,0.339444,0.001978,0.142625,0.001715,0.134331,0.001938,1.000000,0.000000,0.401389,0.013881
proposed_abstraction_failure_audit_v4,0.670000,10,0.525260,0.002094,0.215896,0.001747,0.177088,0.001649,0.519097,0.014030,0.868750,0.002443,0.393403,0.039096,0.056597,0.003522,0.342044,0.002079,0.143082,0.001317,0.128878,0.001505,1.000000,0.000000,0.418403,0.016770
proposed_abstraction_failure_audit_v4,0.780000,10,0.519366,0.002405,0.215246,0.002682,0.177381,0.002249,0.502778,0.021154,0.868403,0.003856,0.403472,0.034965,0.059722,0.004627,0.342637,0.002448,0.144214,0.001316,0.122901,0.001325,1.000000,0.000000,0.424653,0.025058
proposed_abstraction_failure_audit_v4,0.890000,10,0.512439,0.002222,0.213922,0.001467,0.175617,0.001363,0.492708,0.022876,0.868056,0.002029,0.407292,0.045856,0.059375,0.003721,0.343793,0.001715,0.146066,0.001643,0.117527,0.001563,1.000000,0.000000,0.440278,0.014196
proposed_abstraction_failure_audit_v4,1.000000,10,0.507353,0.001442,0.215438,0.001545,0.177364,0.001627,0.476736,0.014563,0.863542,0.003216,0.387500,0.033080,0.055903,0.008635,0.342522,0.002051,0.147202,0.001047,0.110837,0.001703,1.000000,0.000000,0.421528,0.018012
risk_bounded_abstraction_failure_audit_v5,0.000000,10,0.264260,0.007047,0.477910,0.006138,0.371538,0.004847,0.663889,0.017031,0.141667,0.016226,0.223264,0.025323,0.000347,0.000681,0.226890,0.003726,0.674761,0.012271,-0.375729,0.012514,0.142014,0.016435,0.087500,0.010631
risk_bounded_abstraction_failure_audit_v5,0.110000,10,0.262160,0.011044,0.479668,0.009603,0.371681,0.007588,0.652083,0.017121,0.140972,0.027055,0.238542,0.039955,0.000000,0.000000,0.226449,0.005670,0.672831,0.019538,-0.378767,0.019688,0.142014,0.027718,0.087847,0.018319
risk_bounded_abstraction_failure_audit_v5,0.220000,10,0.250897,0.010462,0.489069,0.009728,0.378258,0.006556,0.618403,0.010368,0.116319,0.026304,0.205903,0.028892,0.000000,0.000000,0.220469,0.005690,0.687647,0.018491,-0.397706,0.018402,0.116319,0.026304,0.074653,0.017956
risk_bounded_abstraction_failure_audit_v5,0.330000,10,0.256109,0.007936,0.482609,0.008364,0.373650,0.006245,0.602778,0.013040,0.132986,0.022019,0.245139,0.028680,0.000694,0.000907,0.224890,0.005242,0.672591,0.015054,-0.387285,0.015028,0.134028,0.022255,0.087153,0.016684
risk_bounded_abstraction_failure_audit_v5,0.440000,10,0.255525,0.005439,0.480398,0.004553,0.373364,0.003829,0.606250,0.020117,0.130208,0.011444,0.256597,0.023953,0.001042,0.001040,0.225488,0.002814,0.668328,0.009054,-0.386717,0.009458,0.132292,0.011632,0.093056,0.011424
risk_bounded_abstraction_failure_audit_v5,0.560000,10,0.250893,0.006579,0.485521,0.006782,0.377714,0.004874,0.573958,0.020891,0.120486,0.019304,0.240972,0.028210,0.000347,0.000681,0.221549,0.003875,0.672670,0.012322,-0.395714,0.012319,0.120833,0.019641,0.075694,0.011334
risk_bounded_abstraction_failure_audit_v5,0.670000,10,0.256593,0.008316,0.478207,0.007929,0.371274,0.006125,0.570486,0.012469,0.138542,0.021911,0.295486,0.042868,0.000694,0.000907,0.227490,0.005149,0.655591,0.015252,-0.383631,0.015070,0.139931,0.021831,0.098264,0.017864
risk_bounded_abstraction_failure_audit_v5,0.780000,10,0.254462,0.009295,0.476390,0.010922,0.371061,0.007824,0.561458,0.023180,0.140625,0.027733,0.295139,0.037578,0.000694,0.000907,0.228169,0.006882,0.652205,0.018396,-0.385090,0.018025,0.143056,0.028655,0.099306,0.021213
risk_bounded_abstraction_failure_audit_v5,0.890000,10,0.247400,0.008161,0.483738,0.008654,0.375578,0.006810,0.517361,0.014632,0.120486,0.022979,0.280208,0.052882,0.001042,0.001040,0.223340,0.005431,0.661230,0.015512,-0.397636,0.015703,0.123611,0.023710,0.082986,0.018104
risk_bounded_abstraction_failure_audit_v5,1.000000,10,0.242922,0.007999,0.485344,0.008811,0.377572,0.007163,0.495139,0.022485,0.115278,0.021896,0.289583,0.045700,0.001389,0.001505,0.223212,0.005734,0.662468,0.015488,-0.404428,0.015525,0.118750,0.023130,0.087153,0.019918
runtime_monitor_replanner,0.000000,10,0.374214,0.007399,0.297048,0.009043,0.228090,0.006835,0.274306,0.014876,0.176042,0.017426,0.497569,0.033892,0.003472,0.002485,0.242133,0.004959,0.363026,0.015381,-0.063994,0.015439,0.745139,0.026401,0.370486,0.015454
runtime_monitor_replanner,0.110000,10,0.361213,0.009212,0.311877,0.012089,0.239610,0.009475,0.250000,0.017977,0.179167,0.020944,0.413889,0.047507,0.002083,0.001815,0.236590,0.006660,0.385626,0.020141,-0.091563,0.020218,0.694792,0.037116,0.362500,0.024937
runtime_monitor_replanner,0.220000,10,0.358511,0.010593,0.310987,0.013359,0.238082,0.010448,0.257986,0.013423,0.175000,0.021952,0.430208,0.054439,0.003125,0.001884,0.236418,0.007790,0.382518,0.022446,-0.092576,0.022590,0.697917,0.037303,0.357986,0.029024
runtime_monitor_replanner,0.330000,10,0.361413,0.010343,0.303989,0.012000,0.233100,0.009565,0.239931,0.015468,0.193403,0.031728,0.442361,0.041881,0.002431,0.001772,0.241419,0.008163,0.369435,0.020627,-0.084129,0.020755,0.714931,0.031912,0.371528,0.037674
runtime_monitor_replanner,0.440000,10,0.367197,0.011749,0.293356,0.013655,0.225617,0.010679,0.234722,0.016143,0.207986,0.036345,0.462153,0.050456,0.006597,0.002140,0.247365,0.009466,0.350899,0.023505,-0.069287,0.023358,0.738542,0.034029,0.386458,0.033556
runtime_monitor_replanner,0.560000,10,0.370374,0.006743,0.286767,0.009613,0.221472,0.007457,0.223264,0.018653,0.237153,0.019116,0.443056,0.041585,0.010417,0.002269,0.253972,0.005903,0.339035,0.015391,-0.062079,0.015143,0.746875,0.029845,0.421528,0.019254
runtime_monitor_replanner,0.670000,10,0.367847,0.008918,0.284375,0.010093,0.218720,0.007179,0.222569,0.013010,0.235417,0.036378,0.472569,0.038316,0.007292,0.003580,0.254349,0.008008,0.333356,0.016457,-0.061395,0.016382,0.757292,0.027117,0.418056,0.033204
runtime_monitor_replanner,0.780000,10,0.365957,0.008003,0.284183,0.010627,0.219904,0.008803,0.202431,0.020668,0.248958,0.020594,0.460417,0.045111,0.009375,0.003665,0.256094,0.005910,0.331875,0.017574,-0.064760,0.017952,0.749306,0.030818,0.421181,0.019516
runtime_monitor_replanner,0.890000,10,0.362808,0.005898,0.285107,0.007906,0.220087,0.006396,0.186806,0.018893,0.256250,0.016226,0.464931,0.033624,0.012153,0.003086,0.257132,0.004714,0.332605,0.012537,-0.069012,0.013105,0.743403,0.021675,0.431250,0.020386
runtime_monitor_replanner,1.000000,10,0.361851,0.005300,0.281120,0.005896,0.218146,0.004624,0.202431,0.015653,0.263194,0.029295,0.438194,0.028385,0.012153,0.003830,0.259527,0.005300,0.325305,0.009706,-0.067266,0.009534,0.753819,0.018470,0.420833,0.025821
semantic_model_predictive_planner,0.000000,10,0.561869,0.004395,0.242583,0.003701,0.195589,0.002728,0.468750,0.017776,0.770486,0.008870,0.270833,0.033785,0.017014,0.003280,0.357034,0.002784,0.173261,0.007014,0.130393,0.007269,0.787500,0.010533,0.580903,0.013838
semantic_model_predictive_planner,0.110000,10,0.559752,0.004017,0.239433,0.003357,0.192570,0.002400,0.450347,0.015816,0.773958,0.007622,0.254861,0.038647,0.025000,0.003010,0.360675,0.002835,0.168002,0.006253,0.130747,0.006392,0.798958,0.009212,0.595833,0.016860
semantic_model_predictive_planner,0.220000,10,0.557545,0.002133,0.238512,0.003138,0.191815,0.002401,0.430556,0.014596,0.779167,0.007259,0.275000,0.023982,0.021528,0.004033,0.360677,0.002745,0.165030,0.004594,0.129617,0.004368,0.800694,0.008560,0.599653,0.013763
semantic_model_predictive_planner,0.330000,10,0.553702,0.005641,0.237560,0.005302,0.191337,0.003975,0.441319,0.012970,0.774306,0.010737,0.283681,0.029158,0.029514,0.005296,0.362579,0.003936,0.164250,0.009064,0.125872,0.009741,0.803819,0.013237,0.604514,0.021170
semantic_model_predictive_planner,0.440000,10,0.548789,0.003777,0.235669,0.002858,0.190433,0.002428,0.419792,0.011453,0.777778,0.007924,0.277778,0.026416,0.030556,0.004949,0.363001,0.002372,0.163717,0.004993,0.122529,0.005240,0.808333,0.007845,0.597569,0.011543
semantic_model_predictive_planner,0.560000,10,0.546791,0.004636,0.235915,0.004032,0.191274,0.003071,0.412153,0.017806,0.774653,0.009912,0.287847,0.035846,0.033333,0.005575,0.362939,0.003250,0.161969,0.007349,0.119808,0.007717,0.807986,0.011299,0.595486,0.014988
semantic_model_predictive_planner,0.670000,10,0.541793,0.002601,0.232435,0.003084,0.187707,0.002898,0.383681,0.014212,0.776389,0.005482,0.297222,0.043485,0.040625,0.006884,0.366759,0.003186,0.158980,0.004537,0.117792,0.004601,0.817014,0.009520,0.612500,0.014497
semantic_model_predictive_planner,0.780000,10,0.536628,0.003931,0.232577,0.004579,0.188811,0.003197,0.390625,0.024585,0.777431,0.009043,0.270139,0.033430,0.040278,0.004560,0.366155,0.003388,0.159792,0.006462,0.112004,0.006382,0.817708,0.010938,0.619097,0.016764
semantic_model_predictive_planner,0.890000,10,0.535077,0.003842,0.228137,0.004396,0.184714,0.003685,0.382292,0.020999,0.781597,0.008394,0.306597,0.039735,0.047222,0.004991,0.369800,0.003602,0.153912,0.006137,0.114447,0.006428,0.828819,0.011569,0.631597,0.021911
semantic_model_predictive_planner,1.000000,10,0.532197,0.004184,0.226553,0.006210,0.184951,0.004365,0.344792,0.017979,0.784722,0.010043,0.328819,0.042477,0.045486,0.008270,0.371629,0.004811,0.151453,0.008375,0.111548,0.008247,0.830208,0.016310,0.629514,0.018790
