baseline,metric,direction,v5_mean,baseline_mean,mean_diff_v5_minus_baseline,ci95_diff,winner,paired_seeds
llm_tamp_failure_reasoning,task_success,higher,0.247955,0.463536,-0.215580,0.018205,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,mechanical_violation_rate,lower,0.429314,0.187655,0.241659,0.015035,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,damage_unsafe_rate,lower,0.335980,0.153590,0.182390,0.011714,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,planning_regret_to_oracle,lower,0.627627,0.207979,0.419648,0.023290,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,robust_utility,higher,-0.359988,0.067246,-0.427234,0.023669,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,deployment_coverage,higher,0.000000,0.000000,0.000000,0.000000,statistical_tie,10
llm_tamp_failure_reasoning,planning_cost,lower,0.250284,0.354442,-0.104158,0.007956,risk_bounded_abstraction_failure_audit_v5,10
llm_tamp_failure_reasoning,intervention_rate,lower,0.218750,0.849306,-0.630556,0.032783,risk_bounded_abstraction_failure_audit_v5,10
runtime_monitor_replanner,task_success,higher,0.247955,0.308351,-0.060396,0.015276,runtime_monitor_replanner,10
runtime_monitor_replanner,mechanical_violation_rate,lower,0.429314,0.230850,0.198464,0.024951,runtime_monitor_replanner,10
runtime_monitor_replanner,damage_unsafe_rate,lower,0.335980,0.181844,0.154136,0.019936,runtime_monitor_replanner,10
runtime_monitor_replanner,planning_regret_to_oracle,lower,0.627627,0.381786,0.245841,0.026496,runtime_monitor_replanner,10
runtime_monitor_replanner,robust_utility,higher,-0.359988,-0.114147,-0.245841,0.026496,runtime_monitor_replanner,10
runtime_monitor_replanner,deployment_coverage,higher,0.000000,0.000000,0.000000,0.000000,statistical_tie,10
runtime_monitor_replanner,planning_cost,lower,0.250284,0.268081,-0.017798,0.011289,risk_bounded_abstraction_failure_audit_v5,10
runtime_monitor_replanner,intervention_rate,lower,0.218750,0.747569,-0.528819,0.051331,risk_bounded_abstraction_failure_audit_v5,10
grounded_geometric_tamp,task_success,higher,0.247955,0.511035,-0.263079,0.012119,grounded_geometric_tamp,10
grounded_geometric_tamp,mechanical_violation_rate,lower,0.429314,0.201432,0.227882,0.013327,grounded_geometric_tamp,10
grounded_geometric_tamp,damage_unsafe_rate,lower,0.335980,0.165172,0.170808,0.010561,grounded_geometric_tamp,10
grounded_geometric_tamp,planning_regret_to_oracle,lower,0.627627,0.186044,0.441583,0.019128,grounded_geometric_tamp,10
grounded_geometric_tamp,robust_utility,higher,-0.359988,0.109957,-0.469946,0.019357,grounded_geometric_tamp,10
grounded_geometric_tamp,deployment_coverage,higher,0.000000,0.000000,0.000000,0.000000,statistical_tie,10
grounded_geometric_tamp,planning_cost,lower,0.250284,0.367038,-0.116755,0.007916,risk_bounded_abstraction_failure_audit_v5,10
grounded_geometric_tamp,intervention_rate,lower,0.218750,0.836111,-0.617361,0.028166,risk_bounded_abstraction_failure_audit_v5,10
physics_aware_tamp,task_success,higher,0.247955,0.575413,-0.327458,0.009683,physics_aware_tamp,10
physics_aware_tamp,mechanical_violation_rate,lower,0.429314,0.161940,0.267374,0.015387,physics_aware_tamp,10
physics_aware_tamp,damage_unsafe_rate,lower,0.335980,0.133718,0.202262,0.011803,physics_aware_tamp,10
physics_aware_tamp,planning_regret_to_oracle,lower,0.627627,0.125290,0.502337,0.018345,physics_aware_tamp,10
physics_aware_tamp,robust_utility,higher,-0.359988,0.199180,-0.559168,0.019437,physics_aware_tamp,10
physics_aware_tamp,deployment_coverage,higher,0.000000,0.000000,0.000000,0.000000,statistical_tie,10
physics_aware_tamp,planning_cost,lower,0.250284,0.415749,-0.165466,0.007708,risk_bounded_abstraction_failure_audit_v5,10
physics_aware_tamp,intervention_rate,lower,0.218750,0.913889,-0.695139,0.034221,risk_bounded_abstraction_failure_audit_v5,10
semantic_model_predictive_planner,task_success,higher,0.247955,0.466248,-0.218292,0.014486,semantic_model_predictive_planner,10
semantic_model_predictive_planner,mechanical_violation_rate,lower,0.429314,0.202945,0.226369,0.018094,semantic_model_predictive_planner,10
semantic_model_predictive_planner,damage_unsafe_rate,lower,0.335980,0.165489,0.170491,0.013731,semantic_model_predictive_planner,10
semantic_model_predictive_planner,planning_regret_to_oracle,lower,0.627627,0.216219,0.411407,0.019756,semantic_model_predictive_planner,10
semantic_model_predictive_planner,robust_utility,higher,-0.359988,0.054579,-0.414568,0.019814,semantic_model_predictive_planner,10
semantic_model_predictive_planner,deployment_coverage,higher,0.000000,0.000000,0.000000,0.000000,statistical_tie,10
semantic_model_predictive_planner,planning_cost,lower,0.250284,0.370773,-0.120490,0.008775,risk_bounded_abstraction_failure_audit_v5,10
semantic_model_predictive_planner,intervention_rate,lower,0.218750,0.832292,-0.613542,0.036846,risk_bounded_abstraction_failure_audit_v5,10
learned_failure_classifier_tamp,task_success,higher,0.247955,0.355061,-0.107106,0.010519,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,mechanical_violation_rate,lower,0.429314,0.275230,0.154084,0.015646,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,damage_unsafe_rate,lower,0.335980,0.222452,0.113529,0.012400,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,planning_regret_to_oracle,lower,0.627627,0.388145,0.239482,0.016537,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,robust_utility,higher,-0.359988,-0.120506,-0.239482,0.016537,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,deployment_coverage,higher,0.000000,0.000000,0.000000,0.000000,statistical_tie,10
learned_failure_classifier_tamp,planning_cost,lower,0.250284,0.316116,-0.065833,0.006884,risk_bounded_abstraction_failure_audit_v5,10
learned_failure_classifier_tamp,intervention_rate,lower,0.218750,0.601042,-0.382292,0.033378,risk_bounded_abstraction_failure_audit_v5,10
proposed_abstraction_failure_audit_v4,task_success,higher,0.247955,0.435349,-0.187394,0.020940,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,mechanical_violation_rate,lower,0.429314,0.163882,0.265432,0.011589,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,damage_unsafe_rate,lower,0.335980,0.136268,0.199712,0.008438,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,planning_regret_to_oracle,lower,0.627627,0.208497,0.419130,0.028472,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,robust_utility,higher,-0.359988,0.059142,-0.419130,0.028472,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,deployment_coverage,higher,0.000000,0.000000,0.000000,0.000000,statistical_tie,10
proposed_abstraction_failure_audit_v4,planning_cost,lower,0.250284,0.364388,-0.114104,0.007539,risk_bounded_abstraction_failure_audit_v5,10
proposed_abstraction_failure_audit_v4,intervention_rate,lower,0.218750,1.000000,-0.781250,0.030266,risk_bounded_abstraction_failure_audit_v5,10
