baseline,metric,direction,v5_mean,baseline_mean,mean_diff_v5_minus_baseline,ci95_diff,winner,paired_seeds
language_symbolic_planner,task_success,higher,0.287075,0.270726,0.016349,0.002252,risk_bounded_abstraction_failure_audit_v5,10
language_symbolic_planner,mechanical_violation_rate,lower,0.459545,0.472254,-0.012709,0.002454,risk_bounded_abstraction_failure_audit_v5,10
language_symbolic_planner,damage_unsafe_rate,lower,0.370434,0.379360,-0.008926,0.001972,risk_bounded_abstraction_failure_audit_v5,10
language_symbolic_planner,planning_regret_to_oracle,lower,0.638145,0.603141,0.035004,0.004319,language_symbolic_planner,10
language_symbolic_planner,robust_utility,higher,-0.333993,-0.298989,-0.035004,0.004319,language_symbolic_planner,10
language_symbolic_planner,abstraction_failure_accuracy,higher,0.581597,0.036458,0.545139,0.014169,risk_bounded_abstraction_failure_audit_v5,10
language_symbolic_planner,early_warning_recall,higher,0.139497,0.128559,0.010938,0.011229,statistical_tie,10
language_symbolic_planner,false_refinement_alarm_rate,lower,0.000260,0.000000,0.000260,0.000260,language_symbolic_planner,10
vla_direct_policy,task_success,higher,0.287075,0.290497,-0.003422,0.004190,statistical_tie,10
vla_direct_policy,mechanical_violation_rate,lower,0.459545,0.435496,0.024049,0.006356,vla_direct_policy,10
vla_direct_policy,damage_unsafe_rate,lower,0.370434,0.350140,0.020294,0.004898,vla_direct_policy,10
vla_direct_policy,planning_regret_to_oracle,lower,0.638145,0.562480,0.075665,0.009720,vla_direct_policy,10
vla_direct_policy,robust_utility,higher,-0.333993,-0.258328,-0.075665,0.009720,vla_direct_policy,10
vla_direct_policy,abstraction_failure_accuracy,higher,0.581597,0.135677,0.445920,0.015254,risk_bounded_abstraction_failure_audit_v5,10
vla_direct_policy,early_warning_recall,higher,0.139497,0.183160,-0.043663,0.029657,vla_direct_policy,10
vla_direct_policy,false_refinement_alarm_rate,lower,0.000260,0.001910,-0.001649,0.000997,risk_bounded_abstraction_failure_audit_v5,10
neuro_symbolic_predicate_planner,task_success,higher,0.287075,0.403242,-0.116167,0.003141,neuro_symbolic_predicate_planner,10
