baseline,metric,direction,v5_mean,baseline_mean,mean_diff_v5_minus_baseline,ci95_diff,winner,paired_seeds
neuro_symbolic_predicate_planner,mechanical_violation_rate,lower,0.459545,0.328332,0.131213,0.003748,neuro_symbolic_predicate_planner,10
neuro_symbolic_predicate_planner,damage_unsafe_rate,lower,0.370434,0.270965,0.099470,0.003024,neuro_symbolic_predicate_planner,10
neuro_symbolic_predicate_planner,planning_regret_to_oracle,lower,0.638145,0.370081,0.268065,0.006295,neuro_symbolic_predicate_planner,10
neuro_symbolic_predicate_planner,robust_utility,higher,-0.333993,-0.065929,-0.268065,0.006295,neuro_symbolic_predicate_planner,10
neuro_symbolic_predicate_planner,abstraction_failure_accuracy,higher,0.581597,0.287587,0.294010,0.016226,risk_bounded_abstraction_failure_audit_v5,10
neuro_symbolic_predicate_planner,early_warning_recall,higher,0.139497,0.196441,-0.056944,0.018270,neuro_symbolic_predicate_planner,10
neuro_symbolic_predicate_planner,false_refinement_alarm_rate,lower,0.000260,0.015972,-0.015712,0.001988,risk_bounded_abstraction_failure_audit_v5,10
active_relational_abstraction,task_success,higher,0.287075,0.520576,-0.233501,0.003034,active_relational_abstraction,10
active_relational_abstraction,mechanical_violation_rate,lower,0.459545,0.217929,0.241617,0.002769,active_relational_abstraction,10
active_relational_abstraction,damage_unsafe_rate,lower,0.370434,0.183440,0.186994,0.002321,active_relational_abstraction,10
active_relational_abstraction,planning_regret_to_oracle,lower,0.638145,0.168071,0.470075,0.005479,active_relational_abstraction,10
active_relational_abstraction,robust_utility,higher,-0.333993,0.136081,-0.470075,0.005479,active_relational_abstraction,10
active_relational_abstraction,abstraction_failure_accuracy,higher,0.581597,0.408160,0.173437,0.013784,risk_bounded_abstraction_failure_audit_v5,10
active_relational_abstraction,early_warning_recall,higher,0.139497,0.227865,-0.088368,0.017766,active_relational_abstraction,10
active_relational_abstraction,false_refinement_alarm_rate,lower,0.000260,0.123351,-0.123090,0.000976,risk_bounded_abstraction_failure_audit_v5,10
llm_tamp_failure_reasoning,task_success,higher,0.287075,0.574018,-0.286943,0.002056,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,mechanical_violation_rate,lower,0.459545,0.207376,0.252169,0.002189,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,damage_unsafe_rate,lower,0.370434,0.175871,0.194564,0.001986,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,planning_regret_to_oracle,lower,0.638145,0.133909,0.504236,0.003908,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,robust_utility,higher,-0.333993,0.182055,-0.516049,0.003892,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,abstraction_failure_accuracy,higher,0.581597,0.383941,0.197656,0.019786,risk_bounded_abstraction_failure_audit_v5,10
llm_tamp_failure_reasoning,early_warning_recall,higher,0.139497,0.262153,-0.122656,0.018152,llm_tamp_failure_reasoning,10
llm_tamp_failure_reasoning,false_refinement_alarm_rate,lower,0.000260,0.034115,-0.033854,0.003287,risk_bounded_abstraction_failure_audit_v5,10
runtime_monitor_replanner,task_success,higher,0.287075,0.374253,-0.087178,0.005125,runtime_monitor_replanner,10
runtime_monitor_replanner,mechanical_violation_rate,lower,0.459545,0.294727,0.164819,0.006309,runtime_monitor_replanner,10
runtime_monitor_replanner,damage_unsafe_rate,lower,0.370434,0.237229,0.133206,0.005175,runtime_monitor_replanner,10
runtime_monitor_replanner,planning_regret_to_oracle,lower,0.638145,0.367819,0.270327,0.010701,runtime_monitor_replanner,10
runtime_monitor_replanner,robust_utility,higher,-0.333993,-0.063667,-0.270327,0.010701,runtime_monitor_replanner,10
runtime_monitor_replanner,abstraction_failure_accuracy,higher,0.581597,0.241406,0.340191,0.014753,risk_bounded_abstraction_failure_audit_v5,10
runtime_monitor_replanner,early_warning_recall,higher,0.139497,0.301649,-0.162153,0.024579,runtime_monitor_replanner,10
runtime_monitor_replanner,false_refinement_alarm_rate,lower,0.000260,0.004167,-0.003906,0.000888,risk_bounded_abstraction_failure_audit_v5,10
grounded_geometric_tamp,task_success,higher,0.287075,0.601026,-0.313951,0.002895,grounded_geometric_tamp,10
grounded_geometric_tamp,mechanical_violation_rate,lower,0.459545,0.213208,0.246337,0.002687,grounded_geometric_tamp,10
grounded_geometric_tamp,damage_unsafe_rate,lower,0.370434,0.180056,0.190379,0.002449,grounded_geometric_tamp,10
grounded_geometric_tamp,planning_regret_to_oracle,lower,0.638145,0.139744,0.498401,0.005293,grounded_geometric_tamp,10
grounded_geometric_tamp,robust_utility,higher,-0.333993,0.202135,-0.536129,0.005282,grounded_geometric_tamp,10
grounded_geometric_tamp,abstraction_failure_accuracy,higher,0.581597,0.292274,0.289323,0.010643,risk_bounded_abstraction_failure_audit_v5,10
grounded_geometric_tamp,early_warning_recall,higher,0.139497,0.186545,-0.047049,0.019204,grounded_geometric_tamp,10
grounded_geometric_tamp,false_refinement_alarm_rate,lower,0.000260,0.028125,-0.027865,0.002275,risk_bounded_abstraction_failure_audit_v5,10
physics_aware_tamp,task_success,higher,0.287075,0.672623,-0.385548,0.003690,physics_aware_tamp,10
physics_aware_tamp,mechanical_violation_rate,lower,0.459545,0.164499,0.295047,0.002877,physics_aware_tamp,10
physics_aware_tamp,damage_unsafe_rate,lower,0.370434,0.139346,0.231088,0.002528,physics_aware_tamp,10
physics_aware_tamp,planning_regret_to_oracle,lower,0.638145,0.069816,0.568329,0.005770,physics_aware_tamp,10
physics_aware_tamp,robust_utility,higher,-0.333993,0.306262,-0.640255,0.006224,physics_aware_tamp,10
physics_aware_tamp,abstraction_failure_accuracy,higher,0.581597,0.349479,0.232118,0.014502,risk_bounded_abstraction_failure_audit_v5,10
physics_aware_tamp,early_warning_recall,higher,0.139497,0.169358,-0.029861,0.010565,physics_aware_tamp,10
physics_aware_tamp,false_refinement_alarm_rate,lower,0.000260,0.028819,-0.028559,0.002529,risk_bounded_abstraction_failure_audit_v5,10
affordance_graph_planner,task_success,higher,0.287075,0.482738,-0.195663,0.005213,affordance_graph_planner,10
affordance_graph_planner,mechanical_violation_rate,lower,0.459545,0.270860,0.188685,0.006209,affordance_graph_planner,10
affordance_graph_planner,damage_unsafe_rate,lower,0.370434,0.228006,0.142428,0.005171,affordance_graph_planner,10
affordance_graph_planner,planning_regret_to_oracle,lower,0.638145,0.265516,0.372629,0.010472,affordance_graph_planner,10
affordance_graph_planner,robust_utility,higher,-0.333993,0.038636,-0.372629,0.010472,affordance_graph_planner,10
affordance_graph_planner,abstraction_failure_accuracy,higher,0.581597,0.346875,0.234722,0.012488,risk_bounded_abstraction_failure_audit_v5,10
affordance_graph_planner,early_warning_recall,higher,0.139497,0.208767,-0.069271,0.027999,affordance_graph_planner,10
affordance_graph_planner,false_refinement_alarm_rate,lower,0.000260,0.025694,-0.025434,0.003327,risk_bounded_abstraction_failure_audit_v5,10
learned_failure_classifier_tamp,task_success,higher,0.287075,0.435515,-0.148440,0.005133,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,mechanical_violation_rate,lower,0.459545,0.321847,0.137699,0.005126,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,damage_unsafe_rate,lower,0.370434,0.268958,0.101477,0.004259,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,planning_regret_to_oracle,lower,0.638145,0.365655,0.272490,0.009665,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,robust_utility,higher,-0.333993,-0.061503,-0.272490,0.009665,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,abstraction_failure_accuracy,higher,0.581597,0.469184,0.112413,0.013941,risk_bounded_abstraction_failure_audit_v5,10
learned_failure_classifier_tamp,early_warning_recall,higher,0.139497,0.226736,-0.087240,0.020941,learned_failure_classifier_tamp,10
learned_failure_classifier_tamp,false_refinement_alarm_rate,lower,0.000260,0.005903,-0.005642,0.000812,risk_bounded_abstraction_failure_audit_v5,10
semantic_model_predictive_planner,task_success,higher,0.287075,0.565284,-0.278209,0.002705,semantic_model_predictive_planner,10
semantic_model_predictive_planner,mechanical_violation_rate,lower,0.459545,0.215177,0.244369,0.002539,semantic_model_predictive_planner,10
semantic_model_predictive_planner,damage_unsafe_rate,lower,0.370434,0.181314,0.189121,0.002239,semantic_model_predictive_planner,10
semantic_model_predictive_planner,planning_regret_to_oracle,lower,0.638145,0.149427,0.488719,0.004932,semantic_model_predictive_planner,10
semantic_model_predictive_planner,robust_utility,higher,-0.333993,0.159407,-0.493401,0.004935,semantic_model_predictive_planner,10
semantic_model_predictive_planner,abstraction_failure_accuracy,higher,0.581597,0.407205,0.174392,0.011941,risk_bounded_abstraction_failure_audit_v5,10
semantic_model_predictive_planner,early_warning_recall,higher,0.139497,0.171528,-0.032031,0.014132,semantic_model_predictive_planner,10
semantic_model_predictive_planner,false_refinement_alarm_rate,lower,0.000260,0.027604,-0.027344,0.001985,risk_bounded_abstraction_failure_audit_v5,10
proposed_abstraction_failure_audit_v4,task_success,higher,0.287075,0.549073,-0.261998,0.002561,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,mechanical_violation_rate,lower,0.459545,0.197012,0.262533,0.002598,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,damage_unsafe_rate,lower,0.370434,0.168219,0.202215,0.002207,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,planning_regret_to_oracle,lower,0.638145,0.131681,0.506465,0.004791,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,robust_utility,higher,-0.333993,0.172472,-0.506465,0.004791,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,abstraction_failure_accuracy,higher,0.581597,0.535243,0.046354,0.016554,risk_bounded_abstraction_failure_audit_v5,10
proposed_abstraction_failure_audit_v4,early_warning_recall,higher,0.139497,0.253733,-0.114236,0.016836,proposed_abstraction_failure_audit_v4,10
proposed_abstraction_failure_audit_v4,false_refinement_alarm_rate,lower,0.000260,0.051302,-0.051042,0.002194,risk_bounded_abstraction_failure_audit_v5,10
