method,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,10,0.520576,0.001880,0.217929,0.001321,0.183440,0.001283,0.408160,0.005153,0.780295,0.004030,0.227865,0.015672,0.123351,0.000858,0.300046,0.001137,0.168071,0.003057,0.136081,0.003077,0.903646,0.004386,0.619010,0.009220
affordance_graph_planner,10,0.482738,0.004463,0.270860,0.005711,0.228006,0.004277,0.346875,0.008289,0.584722,0.012644,0.208767,0.023085,0.025694,0.003376,0.292474,0.004617,0.265516,0.009105,0.038636,0.008834,0.610417,0.015477,0.577344,0.017820
grounded_geometric_tamp,10,0.601026,0.001741,0.213208,0.001370,0.180056,0.000880,0.292274,0.005123,0.768056,0.003594,0.186545,0.011207,0.028125,0.002368,0.346642,0.000987,0.139744,0.002224,0.202135,0.002540,0.796181,0.003968,0.662674,0.006745
language_symbolic_planner,10,0.270726,0.001054,0.472254,0.001069,0.379360,0.001351,0.036458,0.004892,0.000000,0.000000,0.128559,0.009289,0.000000,0.000000,0.053973,0.000424,0.603141,0.002040,-0.298989,0.002380,0.034722,0.003693,0.008854,0.002670
learned_failure_classifier_tamp,10,0.435515,0.003927,0.321847,0.003968,0.268958,0.003072,0.469184,0.010583,0.450347,0.011942,0.226736,0.020732,0.005903,0.000834,0.277851,0.002612,0.365655,0.007323,-0.061503,0.007329,0.456250,0.012495,0.380642,0.010480
llm_tamp_failure_reasoning,10,0.574018,0.002064,0.207376,0.002251,0.175871,0.001680,0.383941,0.010625,0.780382,0.003702,0.262153,0.017868,0.034115,0.003268,0.345375,0.001857,0.133909,0.003346,0.182055,0.003677,0.814497,0.006442,0.664063,0.009839
neuro_symbolic_predicate_planner,10,0.403242,0.003780,0.328332,0.004174,0.270965,0.003236,0.287587,0.008017,0.459028,0.010258,0.196441,0.017812,0.015972,0.001850,0.199151,0.002791,0.370081,0.007185,-0.065929,0.007297,0.507292,0.012883,0.307639,0.009177
oracle_mechanics_preserving_planner,10,0.518083,0.000291,0.195896,0.000271,0.166704,0.000412,1.000000,0.000000,0.875000,0.000000,0.000608,0.000443,0.000000,0.000000,0.252975,0.000000,0.125965,0.000179,0.178187,0.000655,1.000000,0.000000,0.603733,0.006868
physics_aware_tamp,10,0.672623,0.001773,0.164499,0.001042,0.139346,0.000907,0.349479,0.009068,0.868229,0.001475,0.169358,0.008224,0.028819,0.002646,0.406245,0.001000,0.069816,0.001537,0.306262,0.002381,0.897049,0.002769,0.845573,0.004469
proposed_abstraction_failure_audit_v4,10,0.549073,0.000556,0.197012,0.000777,0.168219,0.000845,0.535243,0.008359,0.872222,0.000708,0.253733,0.020594,0.051302,0.002358,0.336231,0.000881,0.131681,0.000489,0.172472,0.000865,1.000000,0.000000,0.582812,0.008293
risk_bounded_abstraction_failure_audit_v5,10,0.287075,0.002790,0.459545,0.002541,0.370434,0.002487,0.581597,0.012203,0.062066,0.007094,0.139497,0.010365,0.000260,0.000260,0.209044,0.001691,0.638145,0.005005,-0.333993,0.005297,0.062934,0.007184,0.046615,0.005889
runtime_monitor_replanner,10,0.374253,0.003757,0.294727,0.005311,0.237229,0.004576,0.241406,0.006184,0.179861,0.010828,0.301649,0.024698,0.004167,0.000907,0.228986,0.003519,0.367819,0.008539,-0.063667,0.008586,0.638368,0.016767,0.446962,0.010830
semantic_model_predictive_planner,10,0.565284,0.000988,0.215177,0.001139,0.181314,0.001030,0.407205,0.009430,0.766580,0.002289,0.171528,0.015874,0.027604,0.002073,0.358400,0.001012,0.149427,0.001602,0.159407,0.001704,0.794184,0.003172,0.665451,0.007876
vla_direct_policy,10,0.290497,0.003078,0.435496,0.005572,0.350140,0.004443,0.135677,0.005905,0.044705,0.010836,0.183160,0.024817,0.001910,0.001100,0.105088,0.003622,0.562480,0.008046,-0.258328,0.008006,0.148872,0.016778,0.080556,0.012774
