method,split,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
affordance_graph_planner,language_ambiguity_shift,10,0.523230,0.004785,0.256321,0.004980,0.211940,0.003986,0.367361,0.014376,0.545139,0.014275,0.083333,0.017718,0.013542,0.003856,0.264960,0.004972,0.252788,0.008635,0.110684,0.008386,0.558681,0.016990,0.553819,0.017462
affordance_graph_planner,mechanics_ood_shift,10,0.464291,0.007733,0.290494,0.008319,0.252202,0.007579,0.361806,0.011242,0.519444,0.021430,0.172222,0.036171,0.016667,0.004737,0.270907,0.007918,0.310151,0.015003,0.000439,0.014659,0.536111,0.024792,0.498611,0.026440
affordance_graph_planner,nominal_abstraction,10,0.547459,0.001603,0.243186,0.001327,0.216741,0.001520,0.442014,0.016703,0.509028,0.003955,0.012500,0.006104,0.003472,0.001757,0.247921,0.001570,0.254202,0.002642,0.146230,0.002847,0.512500,0.004780,0.512847,0.004871
affordance_graph_planner,object_affordance_transfer,10,0.499604,0.006338,0.266235,0.006215,0.221351,0.004945,0.364236,0.023300,0.574653,0.016585,0.142361,0.028713,0.015625,0.003830,0.279559,0.005357,0.259430,0.011092,0.068400,0.011240,0.590278,0.017067,0.569097,0.017585
affordance_graph_planner,predicate_noise_shift,10,0.521609,0.004596,0.255836,0.005419,0.208794,0.003983,0.375694,0.009560,0.574306,0.015658,0.093750,0.019488,0.014236,0.005218,0.271230,0.005313,0.246025,0.008926,0.108975,0.008358,0.588542,0.019442,0.583333,0.020290
affordance_graph_planner,recovery_cost_pressure,10,0.493941,0.003182,0.263413,0.003150,0.224316,0.002614,0.338194,0.013581,0.592361,0.007806,0.155556,0.012458,0.026042,0.004565,0.294362,0.002617,0.254529,0.005623,0.056021,0.005340,0.618403,0.010995,0.592014,0.011309
grounded_geometric_tamp,combined_adversarial_abstraction,10,0.586203,0.004989,0.221957,0.002841,0.181414,0.002513,0.275347,0.019595,0.789583,0.008798,0.320833,0.033142,0.046528,0.004328,0.361757,0.002333,0.134978,0.005409,0.174913,0.006853,0.836111,0.007510,0.642014,0.016310
grounded_geometric_tamp,geometry_tolerance_shift,10,0.629003,0.002172,0.202053,0.001872,0.164439,0.001318,0.311111,0.012679,0.764236,0.005868,0.089931,0.035514,0.013889,0.002684,0.338065,0.001604,0.128868,0.002940,0.251429,0.003261,0.778125,0.005315,0.728472,0.011242
grounded_geometric_tamp,language_ambiguity_shift,10,0.634318,0.003196,0.195064,0.002286,0.161908,0.002364,0.314583,0.014138,0.743056,0.007592,0.087847,0.023987,0.015972,0.004671,0.328922,0.002626,0.130814,0.004521,0.266460,0.005089,0.759028,0.010455,0.730903,0.011032
grounded_geometric_tamp,mechanics_ood_shift,10,0.602308,0.004001,0.214772,0.002457,0.188379,0.001922,0.285764,0.019673,0.754861,0.009142,0.154167,0.029337,0.020486,0.003280,0.338236,0.002286,0.149137,0.005253,0.200048,0.005755,0.775347,0.008491,0.629167,0.008292
grounded_geometric_tamp,nominal_abstraction,10,0.667657,0.000768,0.173864,0.000678,0.155771,0.000547,0.361111,0.021924,0.749306,0.002223,0.011458,0.007105,0.003819,0.002949,0.325507,0.000615,0.115642,0.000924,0.317947,0.001224,0.753125,0.002769,0.740278,0.004033
grounded_geometric_tamp,object_affordance_transfer,10,0.610568,0.002472,0.210325,0.002070,0.174692,0.001766,0.304167,0.014355,0.754861,0.004560,0.119097,0.025303,0.012153,0.004214,0.334562,0.002050,0.141283,0.003567,0.222285,0.004064,0.767014,0.006988,0.684028,0.009836
grounded_geometric_tamp,predicate_noise_shift,10,0.634561,0.001924,0.197756,0.001618,0.161792,0.001053,0.323611,0.026838,0.755208,0.004565,0.063889,0.007605,0.008681,0.002536,0.333002,0.001094,0.128333,0.002366,0.263511,0.003073,0.763889,0.005173,0.735069,0.005468
grounded_geometric_tamp,recovery_cost_pressure,10,0.605025,0.002965,0.205779,0.002597,0.175738,0.002114,0.303819,0.012883,0.772917,0.006970,0.152083,0.012744,0.033333,0.004887,0.352012,0.001865,0.133578,0.004733,0.211296,0.004967,0.806250,0.010033,0.695486,0.012218
language_symbolic_planner,combined_adversarial_abstraction,10,0.214286,0.002911,0.513653,0.004672,0.398588,0.003905,0.017708,0.004699,0.000000,0.000000,0.166667,0.025885,0.000000,0.000000,0.056404,0.001787,0.661944,0.007406,-0.394306,0.007542,0.055208,0.015401,0.004861,0.002905
language_symbolic_planner,geometry_tolerance_shift,10,0.319250,0.002552,0.445500,0.004471,0.345510,0.003668,0.059028,0.011297,0.000000,0.000000,0.096528,0.023483,0.000000,0.000000,0.052687,0.001788,0.551676,0.006548,-0.210036,0.006890,0.025000,0.016633,0.015972,0.011840
language_symbolic_planner,language_ambiguity_shift,10,0.357602,0.001307,0.415751,0.003013,0.329074,0.002697,0.061458,0.008369,0.000000,0.000000,0.067014,0.013461,0.000000,0.000000,0.052675,0.001372,0.506062,0.004064,-0.142590,0.004139,0.025000,0.012825,0.021181,0.012235
language_symbolic_planner,mechanics_ood_shift,10,0.273985,0.003116,0.464711,0.004822,0.387302,0.003640,0.033681,0.005653,0.000000,0.000000,0.124653,0.023322,0.000000,0.000000,0.053466,0.001672,0.607450,0.007085,-0.296860,0.007649,0.031944,0.015413,0.007986,0.007595
language_symbolic_planner,nominal_abstraction,10,0.403344,0.001422,0.378090,0.002095,0.321164,0.002094,0.098264,0.008611,0.000000,0.000000,0.024653,0.007062,0.000000,0.000000,0.050656,0.000884,0.468895,0.003168,-0.068462,0.003614,0.006250,0.008415,0.006597,0.008332
language_symbolic_planner,object_affordance_transfer,10,0.305315,0.002289,0.451951,0.003696,0.358928,0.002941,0.057639,0.011576,0.000000,0.000000,0.100000,0.023636,0.000000,0.000000,0.052547,0.001365,0.565144,0.005430,-0.237314,0.005856,0.023264,0.012469,0.010417,0.007793
language_symbolic_planner,predicate_noise_shift,10,0.341603,0.002210,0.430712,0.002867,0.337251,0.002447,0.040278,0.006432,0.000000,0.000000,0.074306,0.014210,0.000000,0.000000,0.051300,0.001026,0.527577,0.004337,-0.172577,0.004997,0.012153,0.009584,0.009028,0.008065
language_symbolic_planner,recovery_cost_pressure,10,0.289319,0.002154,0.458703,0.003507,0.372623,0.002802,0.036806,0.010455,0.000000,0.000000,0.122917,0.017012,0.000000,0.000000,0.053474,0.001618,0.578027,0.004969,-0.267477,0.005174,0.028472,0.013259,0.012153,0.006749
learned_failure_classifier_tamp,combined_adversarial_abstraction,10,0.433991,0.010287,0.313658,0.010768,0.252602,0.008094,0.445486,0.021087,0.570139,0.030985,0.377431,0.053318,0.014583,0.002646,0.306388,0.006809,0.326125,0.019845,-0.058487,0.019470,0.584722,0.032578,0.427083,0.026610
learned_failure_classifier_tamp,geometry_tolerance_shift,10,0.455692,0.005556,0.317815,0.005309,0.256869,0.004392,0.494444,0.015559,0.389931,0.019856,0.100347,0.022876,0.005208,0.003403,0.266914,0.003857,0.367331,0.010480,-0.025691,0.010171,0.395139,0.020260,0.383333,0.017694
learned_failure_classifier_tamp,language_ambiguity_shift,10,0.470610,0.006762,0.310223,0.006639,0.255916,0.005504,0.525000,0.012541,0.343056,0.025761,0.094097,0.025168,0.002083,0.001505,0.253049,0.004657,0.363331,0.012840,0.000140,0.012588,0.345139,0.026205,0.335764,0.025099
learned_failure_classifier_tamp,mechanics_ood_shift,10,0.420420,0.007885,0.334917,0.007213,0.289823,0.006265,0.479514,0.026773,0.395139,0.022476,0.163889,0.027332,0.002431,0.001772,0.262037,0.004539,0.403149,0.014268,-0.092559,0.014633,0.397569,0.022781,0.327083,0.017507
learned_failure_classifier_tamp,nominal_abstraction,10,0.491961,0.003472,0.295759,0.003026,0.262467,0.002854,0.568403,0.022205,0.270486,0.011851,0.014583,0.008833,0.000000,0.000000,0.239757,0.002019,0.369685,0.006207,0.030747,0.006415,0.270486,0.011851,0.269792,0.011299
learned_failure_classifier_tamp,object_affordance_transfer,10,0.451171,0.007548,0.315462,0.007109,0.260871,0.005670,0.494792,0.016049,0.420833,0.023417,0.170833,0.028257,0.001389,0.001111,0.269740,0.004487,0.360745,0.013631,-0.032915,0.013875,0.422222,0.023448,0.392708,0.017110
learned_failure_classifier_tamp,predicate_noise_shift,10,0.475891,0.006213,0.302552,0.006232,0.246429,0.004667,0.504167,0.011379,0.397222,0.019308,0.107639,0.019249,0.004861,0.003077,0.267551,0.004048,0.344390,0.010979,0.010610,0.011476,0.402083,0.020712,0.391319,0.018459
learned_failure_classifier_tamp,recovery_cost_pressure,10,0.436477,0.010095,0.323350,0.009917,0.272535,0.008168,0.456944,0.016860,0.415278,0.031714,0.194792,0.036529,0.005208,0.002325,0.273239,0.007026,0.372602,0.018661,-0.062051,0.018741,0.420486,0.032912,0.375694,0.029295
llm_tamp_failure_reasoning,combined_adversarial_abstraction,10,0.550786,0.003801,0.216812,0.005663,0.177604,0.004650,0.363889,0.020712,0.798611,0.008052,0.378125,0.038557,0.050694,0.008971,0.359429,0.004512,0.133700,0.007696,0.146200,0.008214,0.849306,0.015224,0.630208,0.023819
llm_tamp_failure_reasoning,geometry_tolerance_shift,10,0.607298,0.002188,0.197334,0.002419,0.161222,0.001707,0.418403,0.019014,0.773264,0.004543,0.152778,0.025118,0.023264,0.004189,0.337055,0.002097,0.119976,0.003581,0.235201,0.003943,0.796528,0.007871,0.744444,0.010842
llm_tamp_failure_reasoning,language_ambiguity_shift,10,0.616562,0.002393,0.189885,0.002666,0.158099,0.001766,0.410764,0.017921,0.753472,0.006087,0.125694,0.011514,0.017361,0.004758,0.330515,0.002406,0.122430,0.003824,0.253782,0.004098,0.770833,0.008786,0.744444,0.008856
llm_tamp_failure_reasoning,mechanics_ood_shift,10,0.571684,0.004408,0.209406,0.004697,0.184323,0.003651,0.395139,0.020687,0.770486,0.011318,0.228819,0.041315,0.029167,0.005575,0.334137,0.003996,0.144249,0.007714,0.177178,0.007634,0.799653,0.015118,0.619792,0.016366
llm_tamp_failure_reasoning,nominal_abstraction,10,0.645707,0.001083,0.173585,0.000890,0.155931,0.000943,0.472569,0.019762,0.751736,0.002914,0.025347,0.009994,0.001736,0.001522,0.320738,0.000915,0.113913,0.001647,0.298047,0.001898,0.753472,0.003796,0.740625,0.004871
llm_tamp_failure_reasoning,object_affordance_transfer,10,0.591442,0.003394,0.201824,0.003484,0.168772,0.002546,0.387500,0.011397,0.769792,0.008119,0.208681,0.039193,0.023611,0.004514,0.337280,0.003333,0.129242,0.005378,0.211211,0.005594,0.793403,0.011842,0.705903,0.017515
llm_tamp_failure_reasoning,predicate_noise_shift,10,0.616426,0.002915,0.188767,0.003400,0.155252,0.002468,0.398958,0.017409,0.774653,0.005868,0.154514,0.039996,0.020139,0.006866,0.336676,0.003601,0.114504,0.004370,0.253756,0.004612,0.794792,0.011632,0.765972,0.014283
llm_tamp_failure_reasoning,recovery_cost_pressure,10,0.582160,0.003934,0.201462,0.004561,0.172784,0.003632,0.389236,0.012730,0.782639,0.009198,0.232986,0.046750,0.032986,0.004996,0.350654,0.004074,0.128446,0.006390,0.193633,0.007019,0.815625,0.012970,0.700347,0.016106
neuro_symbolic_predicate_planner,combined_adversarial_abstraction,10,0.379535,0.005288,0.338606,0.004935,0.268907,0.004138,0.249306,0.016478,0.482639,0.021473,0.335417,0.033559,0.026042,0.003403,0.215128,0.003165,0.368461,0.009019,-0.100823,0.009275,0.580903,0.013307,0.234375,0.015327
neuro_symbolic_predicate_planner,geometry_tolerance_shift,10,0.421503,0.005700,0.331202,0.005844,0.264276,0.004392,0.322917,0.013150,0.407292,0.018487,0.099306,0.023926,0.010417,0.002869,0.180511,0.004283,0.378328,0.010592,-0.036687,0.010442,0.421181,0.017921,0.379167,0.017360
neuro_symbolic_predicate_planner,language_ambiguity_shift,10,0.460512,0.003641,0.294015,0.003834,0.239772,0.003442,0.315972,0.021377,0.465972,0.013024,0.100347,0.018965,0.016319,0.005078,0.188905,0.002820,0.325465,0.006947,0.038007,0.007093,0.485069,0.013537,0.454514,0.012193
neuro_symbolic_predicate_planner,mechanics_ood_shift,10,0.399309,0.004592,0.333307,0.004359,0.285744,0.003534,0.300694,0.021237,0.451736,0.009963,0.144792,0.013034,0.013194,0.005153,0.189784,0.002476,0.390044,0.007896,-0.079454,0.008527,0.472917,0.013297,0.272569,0.015090
neuro_symbolic_predicate_planner,nominal_abstraction,10,0.478790,0.000901,0.287454,0.000792,0.252479,0.001087,0.394097,0.017462,0.384375,0.002878,0.013194,0.005349,0.004514,0.001772,0.168031,0.000782,0.340724,0.001520,0.059709,0.001771,0.388889,0.003514,0.385417,0.004183
neuro_symbolic_predicate_planner,object_affordance_transfer,10,0.426836,0.006008,0.314104,0.007103,0.256104,0.005611,0.298958,0.014752,0.462847,0.018653,0.155208,0.026938,0.012153,0.003403,0.194840,0.004754,0.349402,0.012014,-0.021572,0.012082,0.499306,0.023961,0.391667,0.019667
neuro_symbolic_predicate_planner,predicate_noise_shift,10,0.453092,0.005266,0.297122,0.005392,0.239775,0.003797,0.309375,0.016278,0.481250,0.015493,0.093056,0.022292,0.022569,0.003086,0.191727,0.003310,0.327401,0.009362,0.027599,0.009733,0.510764,0.014926,0.467708,0.012754
neuro_symbolic_predicate_planner,recovery_cost_pressure,10,0.407288,0.009263,0.327313,0.010095,0.273105,0.007362,0.301389,0.011995,0.438889,0.026381,0.150347,0.034029,0.012500,0.002722,0.196853,0.006726,0.372417,0.016920,-0.061867,0.017325,0.476042,0.029551,0.331944,0.030675
oracle_mechanics_preserving_planner,combined_adversarial_abstraction,10,0.491454,0.000394,0.217095,0.000263,0.178366,0.000836,1.000000,0.000000,0.875000,0.000000,0.002083,0.001505,0.000000,0.000000,0.255025,0.000000,0.137634,0.000254,0.130005,0.001009,1.000000,0.000000,0.434375,0.009860
oracle_mechanics_preserving_planner,geometry_tolerance_shift,10,0.542644,0.000521,0.182996,0.000584,0.149475,0.000432,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246312,0.000000,0.116207,0.000286,0.225433,0.001078,1.000000,0.000000,0.802083,0.006881
oracle_mechanics_preserving_planner,language_ambiguity_shift,10,0.558297,0.000355,0.169393,0.000490,0.141467,0.000505,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.245800,0.000000,0.108515,0.000205,0.254957,0.000733,1.000000,0.000000,0.880208,0.008974
oracle_mechanics_preserving_planner,mechanics_ood_shift,10,0.523862,0.000610,0.192069,0.000724,0.170141,0.000577,1.000000,0.000000,0.875000,0.000000,0.000347,0.000681,0.000000,0.000000,0.247337,0.000000,0.124511,0.000300,0.186079,0.001211,1.000000,0.000000,0.580903,0.015186
oracle_mechanics_preserving_planner,nominal_abstraction,10,0.590236,0.000357,0.150951,0.000326,0.135978,0.000502,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243750,0.000000,0.098027,0.000188,0.302405,0.000813,1.000000,0.000000,0.923264,0.009702
oracle_mechanics_preserving_planner,object_affordance_transfer,10,0.532620,0.000492,0.185446,0.000495,0.155695,0.000548,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248362,0.000000,0.119181,0.000320,0.208649,0.001050,1.000000,0.000000,0.732986,0.009649
oracle_mechanics_preserving_planner,predicate_noise_shift,10,0.552027,0.000608,0.174716,0.000672,0.144147,0.000494,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.245800,0.000000,0.111330,0.000339,0.243670,0.001245,1.000000,0.000000,0.854861,0.008891
oracle_mechanics_preserving_planner,recovery_cost_pressure,10,0.524396,0.000577,0.188976,0.000718,0.162614,0.000438,1.000000,0.000000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261175,0.000000,0.122536,0.000287,0.188014,0.001126,1.000000,0.000000,0.666667,0.012752
physics_aware_tamp,combined_adversarial_abstraction,10,0.650668,0.005327,0.175691,0.002348,0.144085,0.001984,0.337500,0.019483,0.863542,0.004064,0.294444,0.026838,0.050347,0.006672,0.415626,0.002267,0.072777,0.004376,0.270463,0.006118,0.913889,0.006400,0.827778,0.013196
physics_aware_tamp,geometry_tolerance_shift,10,0.696514,0.002324,0.156795,0.001680,0.127358,0.000974,0.376389,0.012557,0.873611,0.001505,0.050000,0.020846,0.009722,0.003903,0.396422,0.001504,0.065048,0.002192,0.347377,0.003362,0.883333,0.004445,0.871528,0.005739
physics_aware_tamp,language_ambiguity_shift,10,0.694468,0.002089,0.156018,0.001505,0.128909,0.001322,0.358333,0.012417,0.847222,0.005828,0.049653,0.014981,0.006250,0.002443,0.385045,0.001088,0.077565,0.003031,0.349444,0.003343,0.853472,0.005444,0.846875,0.006532
physics_aware_tamp,mechanics_ood_shift,10,0.686652,0.002848,0.159114,0.001919,0.140517,0.001198,0.368403,0.010117,0.873958,0.001040,0.131250,0.016478,0.022222,0.004560,0.403773,0.001522,0.063730,0.002642,0.323609,0.004115,0.896181,0.004913,0.841319,0.004655
physics_aware_tamp,nominal_abstraction,10,0.736170,0.000596,0.131502,0.000398,0.117727,0.000569,0.419097,0.015718,0.874306,0.000907,0.004861,0.006019,0.002083,0.001815,0.390015,0.000363,0.055187,0.000523,0.411329,0.001003,0.876389,0.001111,0.876736,0.001134
physics_aware_tamp,object_affordance_transfer,10,0.682686,0.001993,0.161571,0.001173,0.134428,0.001099,0.347917,0.024701,0.863889,0.004514,0.120833,0.008891,0.014236,0.003280,0.396206,0.001079,0.071695,0.002270,0.325780,0.002945,0.878125,0.003856,0.851042,0.004588
physics_aware_tamp,predicate_noise_shift,10,0.703901,0.001980,0.150784,0.001456,0.123578,0.001227,0.372917,0.012720,0.870486,0.004543,0.053125,0.016733,0.010764,0.002577,0.394684,0.001235,0.062589,0.002537,0.361702,0.003201,0.881250,0.004627,0.873958,0.004764
physics_aware_tamp,recovery_cost_pressure,10,0.670487,0.002516,0.161618,0.001680,0.138355,0.001353,0.344097,0.014219,0.871528,0.002029,0.130903,0.018708,0.028472,0.005153,0.409373,0.001277,0.071061,0.002111,0.305195,0.003138,0.900000,0.005538,0.862153,0.007177
proposed_abstraction_failure_audit_v4,combined_adversarial_abstraction,10,0.519495,0.001449,0.214046,0.001526,0.176688,0.001653,0.493403,0.017438,0.870486,0.001453,0.426042,0.039813,0.060069,0.003936,0.343513,0.001749,0.143781,0.001391,0.123858,0.001281,1.000000,0.000000,0.427083,0.014203
proposed_abstraction_failure_audit_v4,geometry_tolerance_shift,10,0.579098,0.001458,0.183463,0.000848,0.150453,0.000710,0.580556,0.016848,0.874653,0.000681,0.113542,0.022957,0.049653,0.005276,0.331573,0.001131,0.116538,0.001364,0.225103,0.001715,1.000000,0.000000,0.802431,0.010269
proposed_abstraction_failure_audit_v4,language_ambiguity_shift,10,0.588604,0.001140,0.172493,0.000855,0.144128,0.000815,0.585764,0.017218,0.861806,0.003334,0.118056,0.020517,0.043056,0.003955,0.325695,0.001098,0.115478,0.001106,0.247994,0.001205,1.000000,0.000000,0.878125,0.010319
proposed_abstraction_failure_audit_v4,mechanics_ood_shift,10,0.556386,0.001512,0.194900,0.001500,0.173088,0.001058,0.550000,0.011709,0.875000,0.000000,0.189931,0.026222,0.046181,0.004655,0.328432,0.001398,0.129811,0.001706,0.180779,0.002135,1.000000,0.000000,0.546528,0.018849
proposed_abstraction_failure_audit_v4,nominal_abstraction,10,0.624340,0.001063,0.153480,0.000397,0.138427,0.000427,0.674306,0.016633,0.875000,0.000000,0.016319,0.006175,0.037847,0.006914,0.324603,0.000808,0.101111,0.001033,0.299321,0.001219,1.000000,0.000000,0.922569,0.009190
proposed_abstraction_failure_audit_v4,object_affordance_transfer,10,0.564277,0.001206,0.187569,0.001457,0.157787,0.001310,0.569097,0.022899,0.870486,0.002280,0.203125,0.041449,0.047222,0.004671,0.330330,0.001609,0.124688,0.001130,0.203142,0.001685,1.000000,0.000000,0.722222,0.012992
proposed_abstraction_failure_audit_v4,predicate_noise_shift,10,0.584794,0.000951,0.178196,0.000676,0.147220,0.000675,0.589931,0.020047,0.872222,0.001361,0.091319,0.020011,0.047222,0.005482,0.325772,0.000624,0.116383,0.000967,0.238617,0.001384,1.000000,0.000000,0.850000,0.009397
proposed_abstraction_failure_audit_v4,recovery_cost_pressure,10,0.556136,0.001916,0.191533,0.001345,0.165314,0.001031,0.528472,0.009720,0.872917,0.001505,0.195833,0.031223,0.051736,0.005955,0.342649,0.001428,0.128442,0.001545,0.182108,0.002144,1.000000,0.000000,0.635417,0.014561
risk_bounded_abstraction_failure_audit_v5,combined_adversarial_abstraction,10,0.248689,0.007955,0.483013,0.008820,0.376984,0.006726,0.542014,0.020072,0.121528,0.022273,0.253472,0.032983,0.001042,0.001040,0.223273,0.005492,0.664384,0.015330,-0.396746,0.015471,0.124653,0.023322,0.080556,0.016384
risk_bounded_abstraction_failure_audit_v5,geometry_tolerance_shift,10,0.323316,0.002633,0.444990,0.002523,0.345549,0.002040,0.624653,0.014471,0.021181,0.008208,0.057292,0.014780,0.000000,0.000000,0.199524,0.001817,0.609015,0.004659,-0.267374,0.004794,0.021181,0.008208,0.019444,0.008001
risk_bounded_abstraction_failure_audit_v5,language_ambiguity_shift,10,0.360459,0.002445,0.416411,0.002174,0.330028,0.002686,0.630556,0.011796,0.016667,0.009287,0.047222,0.014848,0.000000,0.000000,0.198742,0.002009,0.565623,0.004759,-0.202151,0.004728,0.016667,0.009287,0.016667,0.009287
risk_bounded_abstraction_failure_audit_v5,mechanics_ood_shift,10,0.285210,0.005158,0.457912,0.004810,0.382669,0.004328,0.588194,0.023969,0.045486,0.014647,0.113542,0.023002,0.000000,0.000000,0.204584,0.002997,0.652416,0.009399,-0.341826,0.009733,0.045486,0.014647,0.034028,0.010582
risk_bounded_abstraction_failure_audit_v5,nominal_abstraction,10,0.403633,0.000941,0.378730,0.000789,0.321779,0.001045,0.697569,0.025674,0.002431,0.003522,0.005903,0.004189,0.000000,0.000000,0.195572,0.000814,0.530284,0.001528,-0.129852,0.001783,0.002431,0.003522,0.002778,0.003485
risk_bounded_abstraction_failure_audit_v5,object_affordance_transfer,10,0.315691,0.006231,0.444230,0.005664,0.353334,0.005169,0.612500,0.015054,0.041667,0.016009,0.092708,0.023357,0.000000,0.000000,0.204162,0.003411,0.609941,0.011149,-0.282111,0.011775,0.042014,0.015829,0.037500,0.013259
risk_bounded_abstraction_failure_audit_v5,predicate_noise_shift,10,0.347194,0.004704,0.426593,0.004532,0.334226,0.003603,0.611458,0.016310,0.022917,0.013543,0.058681,0.021436,0.000000,0.000000,0.199953,0.002891,0.579852,0.008237,-0.224852,0.008672,0.022917,0.013543,0.022222,0.013079
risk_bounded_abstraction_failure_audit_v5,recovery_cost_pressure,10,0.298711,0.005097,0.453027,0.004976,0.368750,0.003797,0.583681,0.021243,0.039583,0.013694,0.098264,0.015421,0.000000,0.000000,0.204156,0.003121,0.625840,0.008843,-0.315290,0.009323,0.039583,0.013694,0.034375,0.012235
runtime_monitor_replanner,combined_adversarial_abstraction,10,0.365678,0.006538,0.284555,0.008805,0.220677,0.006933,0.208333,0.014526,0.249653,0.021627,0.444444,0.037769,0.009028,0.002079,0.255952,0.005588,0.333390,0.014572,-0.065752,0.014242,0.747569,0.025037,0.424653,0.019830
runtime_monitor_replanner,geometry_tolerance_shift,10,0.405127,0.003589,0.286425,0.006060,0.223349,0.004519,0.260417,0.017747,0.209722,0.008065,0.162500,0.025681,0.008333,0.001815,0.224188,0.003080,0.357609,0.008934,-0.015969,0.008995,0.593056,0.020537,0.531597,0.018386
runtime_monitor_replanner,language_ambiguity_shift,10,0.415421,0.004730,0.283351,0.009345,0.224787,0.007879,0.265278,0.008680,0.134028,0.010842,0.151389,0.035249,0.000694,0.000907,0.206047,0.005416,0.360780,0.013504,0.002691,0.013396,0.553472,0.036483,0.520486,0.031718
