method,split,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,combined_adversarial_abstraction,10,0.506139,0.004141,0.230078,0.002964,0.187441,0.002901,0.385764,0.009433,0.803819,0.006749,0.365972,0.032955,0.122917,0.001815,0.313468,0.002657,0.161558,0.006149,0.106080,0.006832,0.926736,0.007555,0.478472,0.021348
active_relational_abstraction,geometry_tolerance_shift,10,0.541688,0.002401,0.207168,0.001861,0.167570,0.001160,0.438194,0.011822,0.773264,0.004543,0.118056,0.026358,0.125000,0.000000,0.288255,0.001261,0.161828,0.003286,0.179813,0.003635,0.898264,0.004543,0.812847,0.012319
active_relational_abstraction,language_ambiguity_shift,10,0.557356,0.003171,0.192220,0.002444,0.158965,0.001377,0.447917,0.021305,0.773958,0.006532,0.139236,0.028971,0.125000,0.000000,0.287304,0.002224,0.152726,0.004480,0.210746,0.004566,0.898958,0.006532,0.852431,0.009797
active_relational_abstraction,mechanics_ood_shift,10,0.518723,0.003652,0.219235,0.002744,0.191640,0.002726,0.418403,0.022668,0.767708,0.006914,0.178125,0.024052,0.121875,0.001588,0.289647,0.002549,0.178655,0.005781,0.131935,0.006070,0.889583,0.007441,0.564236,0.021788
active_relational_abstraction,nominal_abstraction,10,0.582305,0.001402,0.177549,0.000813,0.157931,0.000780,0.541319,0.009156,0.750694,0.001361,0.017361,0.009187,0.125000,0.000000,0.278799,0.000512,0.151912,0.001652,0.248520,0.002126,0.875694,0.001361,0.861458,0.003721
active_relational_abstraction,object_affordance_transfer,10,0.530997,0.002781,0.210094,0.002272,0.174159,0.001502,0.432639,0.013118,0.772222,0.007259,0.168403,0.031909,0.125000,0.000000,0.290829,0.001988,0.166230,0.004742,0.161600,0.004277,0.897222,0.007259,0.747917,0.010602
active_relational_abstraction,predicate_noise_shift,10,0.548676,0.002369,0.199399,0.001774,0.162679,0.001304,0.425347,0.017841,0.770833,0.006171,0.139931,0.023379,0.125000,0.000000,0.286347,0.001517,0.159370,0.003520,0.195630,0.003689,0.895833,0.006171,0.847569,0.005598
active_relational_abstraction,recovery_cost_pressure,10,0.526445,0.002662,0.212307,0.001800,0.180521,0.001847,0.395833,0.022888,0.777431,0.005689,0.198958,0.023335,0.123611,0.001111,0.306242,0.001590,0.165840,0.003931,0.144710,0.004256,0.901042,0.005850,0.685417,0.016239
affordance_graph_planner,combined_adversarial_abstraction,10,0.473117,0.013832,0.263298,0.017610,0.214155,0.012545,0.323264,0.016684,0.652431,0.038531,0.364931,0.059748,0.044444,0.006319,0.325069,0.012995,0.237955,0.027906,0.029684,0.027459,0.696875,0.042923,0.649653,0.048786
affordance_graph_planner,geometry_tolerance_shift,10,0.515063,0.006034,0.258994,0.006022,0.210441,0.004569,0.382986,0.017158,0.584375,0.013688,0.107639,0.028206,0.018403,0.003522,0.281837,0.005241,0.246683,0.010121,0.094957,0.010605,0.602778,0.014778,0.594444,0.017389
