variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.6033,0.3967,0.0186
observed_only_behavior_clone,nominal,1,600,0.5733,0.4267,0.0174
observed_only_behavior_clone,nominal,2,600,0.5550,0.4450,0.0249
observed_only_behavior_clone,nominal,3,600,0.5400,0.4600,0.0482
observed_only_behavior_clone,nominal,4,600,0.5733,0.4267,0.0213
observed_only_behavior_clone,nominal,5,600,0.5750,0.4250,0.0029
observed_only_behavior_clone,nominal,6,600,0.6000,0.4000,0.0245
observed_only_behavior_clone,hidden_mode_shift,0,600,0.3800,0.6200,0.0251
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4067,0.5933,0.0044
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4117,0.5883,0.0114
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4100,0.5900,0.0015
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4017,0.5983,0.0132
observed_only_behavior_clone,hidden_mode_shift,5,600,0.4350,0.5650,0.0368
observed_only_behavior_clone,hidden_mode_shift,6,600,0.3883,0.6117,0.0075
observed_only_behavior_clone,embodiment_shift,0,600,0.3800,0.6200,0.0577
observed_only_behavior_clone,embodiment_shift,1,600,0.4283,0.5717,0.0153
observed_only_behavior_clone,embodiment_shift,2,600,0.4583,0.5417,0.0255
observed_only_behavior_clone,embodiment_shift,3,600,0.4833,0.5167,0.0422
observed_only_behavior_clone,embodiment_shift,4,600,0.4717,0.5283,0.0242
observed_only_behavior_clone,embodiment_shift,5,600,0.4117,0.5883,0.0191
observed_only_behavior_clone,embodiment_shift,6,600,0.4350,0.5650,0.0066
observed_only_behavior_clone,combined_stress,0,600,0.3233,0.6767,0.0033
observed_only_behavior_clone,combined_stress,1,600,0.3350,0.6650,0.0090
observed_only_behavior_clone,combined_stress,2,600,0.3233,0.6767,0.0081
observed_only_behavior_clone,combined_stress,3,600,0.3183,0.6817,0.0052
observed_only_behavior_clone,combined_stress,4,600,0.3000,0.7000,0.0299
observed_only_behavior_clone,combined_stress,5,600,0.3317,0.6683,0.0185
observed_only_behavior_clone,combined_stress,6,600,0.3267,0.6733,0.0158
data_augmentation_wam,nominal,0,600,0.6350,0.3650,0.0105
data_augmentation_wam,nominal,1,600,0.6517,0.3483,0.0108
data_augmentation_wam,nominal,2,600,0.6317,0.3683,0.0094
data_augmentation_wam,nominal,3,600,0.6450,0.3550,0.0033
data_augmentation_wam,nominal,4,600,0.6550,0.3450,0.0092
data_augmentation_wam,nominal,5,600,0.6367,0.3633,0.0018
data_augmentation_wam,nominal,6,600,0.6333,0.3667,0.0017
data_augmentation_wam,hidden_mode_shift,0,600,0.4933,0.5067,0.0191
data_augmentation_wam,hidden_mode_shift,1,600,0.4950,0.5050,0.0044
data_augmentation_wam,hidden_mode_shift,2,600,0.5117,0.4883,0.0209
data_augmentation_wam,hidden_mode_shift,3,600,0.5033,0.4967,0.0119
data_augmentation_wam,hidden_mode_shift,4,600,0.4933,0.5067,0.0021
data_augmentation_wam,hidden_mode_shift,5,600,0.4617,0.5383,0.0229
data_augmentation_wam,hidden_mode_shift,6,600,0.4633,0.5367,0.0180
data_augmentation_wam,embodiment_shift,0,600,0.5283,0.4717,0.0267
data_augmentation_wam,embodiment_shift,1,600,0.5367,0.4633,0.0187
data_augmentation_wam,embodiment_shift,2,600,0.5683,0.4317,0.0502
data_augmentation_wam,embodiment_shift,3,600,0.5367,0.4633,0.0179
data_augmentation_wam,embodiment_shift,4,600,0.5250,0.4750,0.0021
