method,split,task,failure_family,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,temporal_precondition_loss,10,0.516935,0.010769,0.180817,0.011330,0.148950,0.006907,0.316667,0.076222,0.000000,0.000000,0.250000,0.121741,0.983333,0.032667,0.311723,0.007098,0.120337,0.014869,0.173894,0.017624,0.983333,0.032667,0.950000,0.049899
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,tool_affordance_misabstraction,10,0.520849,0.016069,0.220066,0.013547,0.177654,0.008864,0.466667,0.117277,0.983333,0.032667,0.433333,0.121254,0.000000,0.000000,0.329280,0.011970,0.132876,0.024694,0.127002,0.025232,0.983333,0.032667,0.533333,0.126985
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,clearance_tolerance_collapse,10,0.517688,0.018972,0.233468,0.016049,0.173167,0.010837,0.533333,0.136002,0.983333,0.032667,0.366667,0.117277,0.000000,0.000000,0.327623,0.010057,0.164714,0.028688,0.119995,0.031434,0.983333,0.032667,0.500000,0.137735
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,compliance_recovery_erasure,10,0.522888,0.020718,0.220041,0.017166,0.195220,0.013815,0.300000,0.117277,0.950000,0.049899,0.350000,0.090450,0.000000,0.000000,0.321130,0.012535,0.130364,0.035015,0.119831,0.035095,0.950000,0.049899,0.400000,0.139446
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,deformable_constraint_erasure,10,0.541200,0.005080,0.210305,0.005850,0.187777,0.004833,0.466667,0.144457,1.000000,0.000000,0.466667,0.106689,0.000000,0.000000,0.332687,0.006584,0.085757,0.007389,0.144296,0.007975,1.000000,0.000000,0.266667,0.121254
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,erased_contact_force,10,0.505389,0.016024,0.230012,0.014427,0.194582,0.011650,0.450000,0.109432,0.950000,0.049899,0.366667,0.106689,0.000000,0.000000,0.307397,0.007185,0.174637,0.029448,0.102776,0.028951,0.950000,0.049899,0.483333,0.090450
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,friction_state_aliasing,10,0.440959,0.022250,0.310588,0.024677,0.231400,0.015070,0.333333,0.119282,0.600000,0.072229,0.183333,0.102726,0.000000,0.000000,0.251407,0.014790,0.314618,0.038784,-0.011381,0.040599,0.600000,0.072229,0.550000,0.098000
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,hidden_support_relation,10,0.521991,0.010195,0.226680,0.007020,0.159364,0.004808,0.366667,0.106689,1.000000,0.000000,0.416667,0.131120,0.000000,0.000000,0.318953,0.007336,0.147231,0.012889,0.141814,0.013144,1.000000,0.000000,0.666667,0.128839
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,temporal_precondition_loss,10,0.518009,0.011469,0.179390,0.010712,0.130801,0.005239,0.366667,0.152444,0.000000,0.000000,0.116667,0.098000,0.983333,0.032667,0.306597,0.007257,0.124734,0.013892,0.191016,0.015084,0.983333,0.032667,0.983333,0.032667
active_relational_abstraction,combined_adversarial_abstraction,mobile_manipulation_with_occlusion,tool_affordance_misabstraction,10,0.517145,0.010834,0.218704,0.005972,0.169492,0.006465,0.500000,0.175578,1.000000,0.000000,0.350000,0.102726,0.000000,0.000000,0.315733,0.007282,0.144335,0.012337,0.135655,0.014162,1.000000,0.000000,0.533333,0.094927
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,clearance_tolerance_collapse,10,0.521829,0.006075,0.228322,0.004039,0.167564,0.004100,0.450000,0.098000,1.000000,0.000000,0.416667,0.100391,0.000000,0.000000,0.333160,0.004415,0.154615,0.007740,0.128829,0.007965,1.000000,0.000000,0.466667,0.094927
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,compliance_recovery_erasure,10,0.524323,0.014094,0.215597,0.014723,0.196429,0.013493,0.316667,0.090450,0.950000,0.049899,0.400000,0.130667,0.000000,0.000000,0.321850,0.008711,0.129257,0.026898,0.122670,0.027797,0.950000,0.049899,0.383333,0.154377
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,deformable_constraint_erasure,10,0.536595,0.004689,0.207154,0.004987,0.188106,0.005090,0.350000,0.149697,1.000000,0.000000,0.400000,0.111045,0.000000,0.000000,0.332623,0.004369,0.092182,0.005947,0.141307,0.007668,1.000000,0.000000,0.316667,0.102726
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,erased_contact_force,10,0.512978,0.018859,0.227728,0.015818,0.193977,0.013970,0.516667,0.141556,0.950000,0.049899,0.366667,0.152444,0.000000,0.000000,0.310580,0.009445,0.165390,0.031020,0.110789,0.032867,0.950000,0.049899,0.350000,0.132916
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,friction_state_aliasing,10,0.425133,0.028033,0.318937,0.030170,0.256887,0.024263,0.366667,0.117277,0.516667,0.113683,0.266667,0.087111,0.000000,0.000000,0.239223,0.020410,0.349843,0.053997,-0.045283,0.053759,0.516667,0.113683,0.450000,0.109432
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,hidden_support_relation,10,0.525140,0.012574,0.223056,0.005068,0.159073,0.006310,0.433333,0.121254,1.000000,0.000000,0.366667,0.117277,0.000000,0.000000,0.319453,0.006975,0.145893,0.014793,0.147064,0.015638,1.000000,0.000000,0.600000,0.147704
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,temporal_precondition_loss,10,0.522982,0.008503,0.177916,0.010347,0.136010,0.005913,0.266667,0.121254,0.000000,0.000000,0.066667,0.053344,0.966667,0.043556,0.308887,0.005883,0.122329,0.011229,0.192131,0.012758,0.966667,0.043556,0.966667,0.043556
active_relational_abstraction,combined_adversarial_abstraction,tabletop_manipulation_with_support,tool_affordance_misabstraction,10,0.525026,0.012295,0.217122,0.007044,0.167441,0.003374,0.350000,0.164779,1.000000,0.000000,0.366667,0.136002,0.000000,0.000000,0.320280,0.007897,0.134758,0.015093,0.144020,0.013865,1.000000,0.000000,0.600000,0.099798
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,clearance_tolerance_collapse,10,0.520567,0.011208,0.228264,0.007191,0.172686,0.004047,0.500000,0.128839,1.000000,0.000000,0.433333,0.111045,0.000000,0.000000,0.337287,0.008459,0.151971,0.015979,0.122179,0.014040,1.000000,0.000000,0.450000,0.085045
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,compliance_recovery_erasure,10,0.535581,0.006841,0.200158,0.006969,0.192528,0.007661,0.366667,0.081485,1.000000,0.000000,0.383333,0.098000,0.000000,0.000000,0.335480,0.007140,0.100815,0.009277,0.139968,0.011957,1.000000,0.000000,0.233333,0.139446
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,deformable_constraint_erasure,10,0.530263,0.006232,0.207475,0.004651,0.194113,0.007684,0.350000,0.157419,1.000000,0.000000,0.433333,0.087111,0.000000,0.000000,0.335677,0.007064,0.095335,0.009637,0.129181,0.010093,1.000000,0.000000,0.233333,0.099798
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,erased_contact_force,10,0.502557,0.021620,0.235174,0.020695,0.207793,0.014569,0.350000,0.149697,0.933333,0.053344,0.366667,0.106689,0.000000,0.000000,0.312003,0.013200,0.177693,0.038537,0.085504,0.038288,0.933333,0.053344,0.250000,0.111578
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,friction_state_aliasing,10,0.402709,0.026212,0.334872,0.027071,0.262454,0.019818,0.383333,0.154377,0.516667,0.090450,0.283333,0.109432,0.000000,0.000000,0.239293,0.017856,0.375651,0.047704,-0.080987,0.047833,0.516667,0.090450,0.466667,0.081485
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,hidden_support_relation,10,0.519480,0.013379,0.225469,0.008389,0.165489,0.007197,0.350000,0.090450,1.000000,0.000000,0.400000,0.087111,0.000000,0.000000,0.323137,0.009354,0.148206,0.016929,0.133839,0.017315,1.000000,0.000000,0.433333,0.130667
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,temporal_precondition_loss,10,0.509058,0.011560,0.180204,0.011814,0.143773,0.005366,0.250000,0.111578,0.000000,0.000000,0.133333,0.081485,0.983333,0.032667,0.303793,0.007800,0.136228,0.017215,0.173430,0.017985,0.983333,0.032667,0.983333,0.032667
active_relational_abstraction,combined_adversarial_abstraction,tool_use_with_hidden_leverage,tool_affordance_misabstraction,10,0.515318,0.016350,0.222111,0.015766,0.180490,0.009223,0.450000,0.098000,0.983333,0.032667,0.366667,0.106689,0.000000,0.000000,0.321807,0.009371,0.145712,0.025290,0.121382,0.027900,0.983333,0.032667,0.433333,0.111045
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,clearance_tolerance_collapse,10,0.562951,0.002874,0.195366,0.004185,0.148189,0.003416,0.533333,0.136002,1.000000,0.000000,0.116667,0.098000,0.000000,0.000000,0.317492,0.000996,0.142787,0.002627,0.209596,0.005018,1.000000,0.000000,1.000000,0.000000
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,compliance_recovery_erasure,10,0.581903,0.003035,0.177199,0.004128,0.164169,0.002791,0.283333,0.098000,1.000000,0.000000,0.116667,0.109432,0.000000,0.000000,0.318000,0.000000,0.082048,0.001335,0.227365,0.006127,1.000000,0.000000,0.866667,0.094927
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,deformable_constraint_erasure,10,0.576706,0.003829,0.183222,0.005189,0.175603,0.003564,0.400000,0.139446,1.000000,0.000000,0.133333,0.094927,0.000000,0.000000,0.318000,0.000000,0.075983,0.001685,0.210443,0.007745,1.000000,0.000000,0.666667,0.108889
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,erased_contact_force,10,0.541342,0.010648,0.200821,0.006956,0.165544,0.005600,0.466667,0.136002,1.000000,0.000000,0.083333,0.073045,0.000000,0.000000,0.293600,0.004148,0.148668,0.010953,0.182362,0.015212,1.000000,0.000000,0.750000,0.121741
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,friction_state_aliasing,10,0.416990,0.034913,0.346351,0.036148,0.289076,0.030609,0.350000,0.113683,0.233333,0.147704,0.016667,0.032667,0.000000,0.000000,0.181025,0.025666,0.428266,0.065055,-0.068059,0.067048,0.233333,0.147704,0.233333,0.147704
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,hidden_support_relation,10,0.537169,0.008222,0.208151,0.004979,0.144876,0.002563,0.533333,0.094927,1.000000,0.000000,0.116667,0.098000,0.000000,0.000000,0.294108,0.003338,0.159725,0.008668,0.188605,0.010314,1.000000,0.000000,0.950000,0.049899
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,temporal_precondition_loss,10,0.547191,0.004950,0.147191,0.002543,0.115212,0.002026,0.483333,0.113683,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.290042,0.001661,0.116872,0.004675,0.257050,0.006110,1.000000,0.000000,1.000000,0.000000
active_relational_abstraction,geometry_tolerance_shift,articulated_fixture_assembly,tool_affordance_misabstraction,10,0.537528,0.008758,0.202286,0.004150,0.156052,0.005309,0.533333,0.160033,1.000000,0.000000,0.116667,0.109432,0.000000,0.000000,0.295152,0.005237,0.147859,0.009965,0.183881,0.011182,1.000000,0.000000,0.916667,0.073045
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,clearance_tolerance_collapse,10,0.563481,0.005129,0.196560,0.003811,0.146777,0.003332,0.566667,0.130667,1.000000,0.000000,0.166667,0.097393,0.000000,0.000000,0.318788,0.003981,0.135390,0.005589,0.209906,0.006757,1.000000,0.000000,0.983333,0.032667
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,compliance_recovery_erasure,10,0.579066,0.009632,0.178787,0.008378,0.163978,0.010245,0.450000,0.146495,0.983333,0.032667,0.150000,0.102726,0.000000,0.000000,0.315313,0.006623,0.085302,0.018280,0.224873,0.018866,0.983333,0.032667,0.916667,0.054444
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,deformable_constraint_erasure,10,0.580646,0.003803,0.178571,0.005941,0.174638,0.004735,0.550000,0.138165,1.000000,0.000000,0.150000,0.102726,0.000000,0.000000,0.319805,0.003538,0.066937,0.002249,0.217018,0.007464,1.000000,0.000000,0.633333,0.136002
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,erased_contact_force,10,0.548252,0.011026,0.199208,0.010086,0.166319,0.008091,0.450000,0.069723,0.983333,0.032667,0.133333,0.081485,0.000000,0.000000,0.293963,0.006908,0.140576,0.019219,0.189497,0.019350,0.983333,0.032667,0.850000,0.102726
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,friction_state_aliasing,10,0.410469,0.025410,0.364427,0.024812,0.292283,0.020171,0.450000,0.161875,0.150000,0.090450,0.050000,0.049899,0.000000,0.000000,0.166700,0.016100,0.440237,0.045383,-0.081357,0.047139,0.150000,0.090450,0.150000,0.090450
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,hidden_support_relation,10,0.546852,0.010268,0.205414,0.004522,0.142531,0.004692,0.433333,0.130667,1.000000,0.000000,0.116667,0.085045,0.000000,0.000000,0.295633,0.004743,0.143926,0.011508,0.200924,0.012643,1.000000,0.000000,1.000000,0.000000
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,temporal_precondition_loss,10,0.558202,0.009168,0.143445,0.004240,0.118802,0.003805,0.350000,0.157419,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.292583,0.004201,0.099262,0.009621,0.266582,0.010766,1.000000,0.000000,1.000000,0.000000
active_relational_abstraction,geometry_tolerance_shift,container_insertion_clearance,tool_affordance_misabstraction,10,0.550703,0.008749,0.199873,0.004606,0.146030,0.002755,0.383333,0.154377,1.000000,0.000000,0.133333,0.106689,0.000000,0.000000,0.297438,0.004868,0.129556,0.009488,0.204712,0.010706,1.000000,0.000000,0.983333,0.032667
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,clearance_tolerance_collapse,10,0.557357,0.003319,0.197138,0.004609,0.155496,0.002486,0.516667,0.090450,1.000000,0.000000,0.133333,0.065333,0.000000,0.000000,0.317492,0.000996,0.147735,0.002636,0.197713,0.005859,1.000000,0.000000,0.933333,0.053344
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,compliance_recovery_erasure,10,0.576995,0.003159,0.180271,0.003605,0.167905,0.002973,0.366667,0.144457,1.000000,0.000000,0.133333,0.081485,0.000000,0.000000,0.318000,0.000000,0.086626,0.001416,0.217986,0.006650,1.000000,0.000000,0.766667,0.087111
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,deformable_constraint_erasure,10,0.570624,0.002012,0.184941,0.003391,0.184011,0.004505,0.350000,0.090450,1.000000,0.000000,0.166667,0.084345,0.000000,0.000000,0.318000,0.000000,0.081206,0.000919,0.197310,0.004533,1.000000,0.000000,0.400000,0.162970
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,erased_contact_force,10,0.541656,0.005957,0.200462,0.004258,0.171700,0.004000,0.566667,0.147704,1.000000,0.000000,0.100000,0.053344,0.000000,0.000000,0.294108,0.002127,0.148849,0.005844,0.178238,0.009204,1.000000,0.000000,0.766667,0.130667
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,friction_state_aliasing,10,0.390957,0.030188,0.369978,0.033024,0.306564,0.024738,0.450000,0.154377,0.166667,0.128839,0.033333,0.043556,0.000000,0.000000,0.169158,0.022098,0.471319,0.057010,-0.115403,0.057290,0.166667,0.128839,0.166667,0.128839
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,hidden_support_relation,10,0.538899,0.007215,0.210396,0.005191,0.149073,0.003625,0.516667,0.141556,1.000000,0.000000,0.116667,0.069723,0.000000,0.000000,0.297627,0.003591,0.155890,0.007292,0.184534,0.010197,1.000000,0.000000,0.933333,0.072229
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,temporal_precondition_loss,10,0.547087,0.006549,0.147777,0.003021,0.125046,0.003405,0.416667,0.139870,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.291058,0.002594,0.116761,0.006586,0.249099,0.007869,1.000000,0.000000,1.000000,0.000000
active_relational_abstraction,geometry_tolerance_shift,deformable_object_packing,tool_affordance_misabstraction,10,0.543552,0.008317,0.204210,0.003562,0.155973,0.004455,0.333333,0.068867,1.000000,0.000000,0.150000,0.076222,0.000000,0.000000,0.297158,0.003133,0.141735,0.008592,0.188003,0.011778,1.000000,0.000000,0.916667,0.054444
active_relational_abstraction,geometry_tolerance_shift,mobile_manipulation_with_occlusion,clearance_tolerance_collapse,10,0.576113,0.004467,0.192745,0.003157,0.137766,0.001901,0.416667,0.131120,1.000000,0.000000,0.183333,0.123674,0.000000,0.000000,0.316983,0.001328,0.136594,0.004519,0.231996,0.005491,1.000000,0.000000,1.000000,0.000000
active_relational_abstraction,geometry_tolerance_shift,mobile_manipulation_with_occlusion,compliance_recovery_erasure,10,0.585807,0.011878,0.178240,0.010213,0.156717,0.009874,0.483333,0.102726,0.983333,0.032667,0.133333,0.094927,0.000000,0.000000,0.311983,0.006450,0.091225,0.019497,0.238558,0.021385,0.983333,0.032667,0.966667,0.043556
active_relational_abstraction,geometry_tolerance_shift,mobile_manipulation_with_occlusion,deformable_constraint_erasure,10,0.593972,0.004056,0.176223,0.003552,0.166154,0.004324,0.450000,0.109432,1.000000,0.000000,0.250000,0.111578,0.000000,0.000000,0.318000,0.000000,0.066867,0.001856,0.238571,0.008943,1.000000,0.000000,0.866667,0.065333
active_relational_abstraction,geometry_tolerance_shift,mobile_manipulation_with_occlusion,erased_contact_force,10,0.538812,0.018420,0.209111,0.013083,0.157522,0.008231,0.366667,0.126985,0.966667,0.043556,0.150000,0.113683,0.000000,0.000000,0.291225,0.009099,0.163881,0.029222,0.181797,0.026227,0.966667,0.043556,0.933333,0.053344
active_relational_abstraction,geometry_tolerance_shift,mobile_manipulation_with_occlusion,friction_state_aliasing,10,0.432898,0.028627,0.352970,0.028684,0.276475,0.021508,0.316667,0.113683,0.183333,0.102726,0.066667,0.072229,0.000000,0.000000,0.172633,0.018285,0.418376,0.050182,-0.043393,0.052992,0.183333,0.102726,0.183333,0.102726
active_relational_abstraction,geometry_tolerance_shift,mobile_manipulation_with_occlusion,hidden_support_relation,10,0.539902,0.013844,0.206146,0.003766,0.134175,0.002518,0.483333,0.113683,1.000000,0.000000,0.150000,0.123674,0.000000,0.000000,0.295633,0.005188,0.161626,0.015732,0.199566,0.013969,1.000000,0.000000,0.983333,0.032667
active_relational_abstraction,geometry_tolerance_shift,mobile_manipulation_with_occlusion,temporal_precondition_loss,10,0.546508,0.005344,0.144376,0.004052,0.105680,0.002502,0.466667,0.117277,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.291058,0.001522,0.122703,0.005036,0.264436,0.006623,1.000000,0.000000,1.000000,0.000000
