method,split,task,failure_family,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,clearance_tolerance_collapse,10,0.509671,0.018852,0.233512,0.015354,0.178965,0.009532,0.300000,0.081485,0.983333,0.032667,0.516667,0.090450,0.000000,0.000000,0.333580,0.011088,0.164930,0.029318,0.105276,0.030073,0.983333,0.032667,0.466667,0.117277
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,compliance_recovery_erasure,10,0.531879,0.008051,0.206499,0.008874,0.185986,0.006618,0.333333,0.108889,1.000000,0.000000,0.533333,0.094927,0.000000,0.000000,0.336717,0.009178,0.098300,0.010070,0.136779,0.013526,1.000000,0.000000,0.383333,0.129298
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,deformable_constraint_erasure,10,0.517601,0.007979,0.216714,0.007717,0.199924,0.006834,0.316667,0.141556,1.000000,0.000000,0.566667,0.099798,0.000000,0.000000,0.332510,0.007994,0.101406,0.010527,0.108307,0.013299,1.000000,0.000000,0.133333,0.065333
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,erased_contact_force,10,0.511521,0.017700,0.229041,0.017086,0.195731,0.013555,0.466667,0.152444,0.966667,0.043556,0.433333,0.111045,0.000000,0.000000,0.318723,0.012256,0.152048,0.031156,0.103887,0.031702,0.966667,0.043556,0.266667,0.111045
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,friction_state_aliasing,10,0.411192,0.032662,0.327748,0.031316,0.258420,0.025997,0.400000,0.099798,0.550000,0.109432,0.250000,0.111578,0.000000,0.000000,0.245847,0.023513,0.351975,0.061897,-0.068220,0.059268,0.550000,0.109432,0.450000,0.085045
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,hidden_support_relation,10,0.521742,0.008480,0.225632,0.005962,0.167829,0.004364,0.416667,0.121741,1.000000,0.000000,0.416667,0.100391,0.000000,0.000000,0.324010,0.007644,0.140166,0.010531,0.133954,0.011856,1.000000,0.000000,0.516667,0.102726
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,temporal_precondition_loss,10,0.509831,0.010455,0.181957,0.005651,0.141373,0.006367,0.416667,0.121741,0.000000,0.000000,0.116667,0.069723,1.000000,0.000000,0.307183,0.004702,0.123848,0.009960,0.173491,0.015129,1.000000,0.000000,0.983333,0.032667
active_relational_abstraction,combined_adversarial_abstraction,articulated_fixture_assembly,tool_affordance_misabstraction,10,0.514458,0.010272,0.229212,0.009091,0.179434,0.008966,0.383333,0.119778,0.983333,0.032667,0.516667,0.123674,0.000000,0.000000,0.322397,0.008516,0.139134,0.018010,0.116916,0.018167,0.983333,0.032667,0.433333,0.099798
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,clearance_tolerance_collapse,10,0.507159,0.012863,0.233439,0.009942,0.176953,0.010320,0.383333,0.098000,0.983333,0.032667,0.366667,0.106689,0.000000,0.000000,0.330893,0.011044,0.164128,0.022563,0.105383,0.020719,0.983333,0.032667,0.366667,0.117277
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,compliance_recovery_erasure,10,0.522445,0.014687,0.215050,0.014011,0.194024,0.014061,0.366667,0.152444,0.966667,0.043556,0.416667,0.111578,0.000000,0.000000,0.335770,0.015581,0.109880,0.028158,0.116995,0.026667,0.966667,0.043556,0.266667,0.121254
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,deformable_constraint_erasure,10,0.532896,0.004766,0.207132,0.006023,0.193837,0.004006,0.350000,0.113683,1.000000,0.000000,0.433333,0.111045,0.000000,0.000000,0.333160,0.005660,0.085834,0.005094,0.133270,0.008359,1.000000,0.000000,0.183333,0.113683
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,erased_contact_force,10,0.515534,0.018841,0.229682,0.017086,0.195771,0.014043,0.466667,0.081485,0.950000,0.049899,0.383333,0.085045,0.000000,0.000000,0.316403,0.013789,0.148606,0.032184,0.108474,0.033070,0.950000,0.049899,0.400000,0.121254
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,friction_state_aliasing,10,0.406687,0.037416,0.333221,0.035897,0.259743,0.027844,0.316667,0.102726,0.533333,0.126985,0.216667,0.138165,0.000000,0.000000,0.239097,0.024953,0.358091,0.069326,-0.074016,0.067472,0.533333,0.126985,0.433333,0.099798
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,hidden_support_relation,10,0.517947,0.015606,0.230553,0.013811,0.168149,0.010043,0.416667,0.100391,0.983333,0.032667,0.383333,0.085045,0.000000,0.000000,0.320530,0.011439,0.144492,0.025046,0.128536,0.026153,0.983333,0.032667,0.616667,0.109432
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,temporal_precondition_loss,10,0.517452,0.013305,0.181808,0.010911,0.143134,0.007385,0.283333,0.085045,0.000000,0.000000,0.133333,0.152444,0.983333,0.032667,0.306447,0.008523,0.113962,0.017630,0.180239,0.020619,0.983333,0.032667,0.950000,0.069723
active_relational_abstraction,combined_adversarial_abstraction,container_insertion_clearance,tool_affordance_misabstraction,10,0.517246,0.014804,0.223980,0.012644,0.177918,0.008273,0.416667,0.087789,0.983333,0.032667,0.416667,0.121741,0.000000,0.000000,0.319457,0.012940,0.134810,0.024699,0.125065,0.022207,0.983333,0.032667,0.450000,0.119778
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,clearance_tolerance_collapse,10,0.522777,0.012219,0.225132,0.008786,0.175817,0.006725,0.400000,0.130667,1.000000,0.000000,0.466667,0.126985,0.000000,0.000000,0.344223,0.007905,0.141579,0.013886,0.121038,0.018769,1.000000,0.000000,0.416667,0.148105
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,compliance_recovery_erasure,10,0.516589,0.017647,0.217254,0.014593,0.200119,0.014030,0.316667,0.132916,0.966667,0.043556,0.483333,0.149697,0.000000,0.000000,0.336877,0.010576,0.119755,0.032059,0.105008,0.031981,0.966667,0.043556,0.266667,0.099798
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,deformable_constraint_erasure,10,0.524622,0.007528,0.206973,0.007752,0.198479,0.006290,0.366667,0.126985,1.000000,0.000000,0.500000,0.128839,0.000000,0.000000,0.344453,0.009678,0.090110,0.010312,0.117003,0.011903,1.000000,0.000000,0.250000,0.131120
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,erased_contact_force,10,0.495386,0.023941,0.241963,0.019294,0.211195,0.015842,0.533333,0.126985,0.933333,0.053344,0.466667,0.126985,0.000000,0.000000,0.313507,0.013670,0.177448,0.040024,0.071315,0.040774,0.933333,0.053344,0.233333,0.111045
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,friction_state_aliasing,10,0.395523,0.037972,0.341990,0.036797,0.270948,0.028323,0.416667,0.087789,0.500000,0.119282,0.366667,0.136002,0.000000,0.000000,0.240693,0.023550,0.385414,0.068148,-0.099005,0.069900,0.500000,0.119282,0.450000,0.129298
active_relational_abstraction,combined_adversarial_abstraction,deformable_object_packing,hidden_support_relation,10,0.521918,0.014097,0.225606,0.008450,0.170204,0.010332,0.300000,0.126985,0.983333,0.032667,0.433333,0.121254,0.000000,0.000000,0.326903,0.010187,0.143411,0.022994,0.131221,0.021163,0.983333,0.032667,0.566667,0.087111
