method,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
failure_classifier_only,10,0.333167,0.005306,0.417190,0.004891,0.337250,0.004043,0.581597,0.012203,0.199132,0.014473,0.139497,0.010365,0.001389,0.000681,0.233397,0.002829,0.553802,0.009506,-0.249650,0.009836,0.200521,0.014532,0.127865,0.012084
full_risk_bounded_abstraction_failure_audit_v5,10,0.287075,0.002790,0.459545,0.002541,0.370434,0.002487,0.581597,0.012203,0.062066,0.007094,0.139497,0.010365,0.000260,0.000260,0.209044,0.001691,0.638145,0.005005,-0.333993,0.005297,0.062934,0.007184,0.046615,0.005889
grounded_tamp_only,10,0.569313,0.003210,0.259054,0.002555,0.216877,0.002204,0.581597,0.012203,0.589931,0.006109,0.139497,0.010365,0.014410,0.002577,0.315686,0.001985,0.228887,0.004477,0.130322,0.005375,0.604340,0.007240,0.604167,0.007196
monitor_only,10,0.311332,0.002509,0.375820,0.003948,0.298864,0.003399,0.581597,0.012203,0.010156,0.003487,0.139497,0.010365,0.000260,0.000260,0.150609,0.001644,0.489234,0.006232,-0.185082,0.006547,0.428125,0.013105,0.259549,0.005888
no_calibration,10,0.411324,0.003511,0.346284,0.003076,0.288674,0.002777,0.581597,0.012203,0.373872,0.009148,0.139497,0.010365,0.002951,0.001248,0.287270,0.001817,0.422172,0.006185,-0.118020,0.006531,0.376823,0.009522,0.323958,0.009038
no_cost_model,10,0.530914,0.001716,0.232332,0.002126,0.195970,0.001887,0.581597,0.012203,0.761979,0.003115,0.139497,0.010365,0.020486,0.003405,0.291914,0.002036,0.171692,0.003060,0.132460,0.003419,0.782465,0.005790,0.508941,0.013169
no_mechanics_taxonomy,10,0.335437,0.005418,0.414675,0.005012,0.335424,0.004149,0.581597,0.012203,0.200781,0.014665,0.139497,0.010365,0.009809,0.001343,0.235281,0.002931,0.549549,0.009714,-0.245397,0.010054,0.210590,0.015059,0.137153,0.012714
no_predicate_refinement,10,0.570044,0.001516,0.211558,0.001794,0.178048,0.001539,0.581597,0.012203,0.761979,0.003115,0.139497,0.010365,0.020486,0.003405,0.341929,0.001494,0.135166,0.002636,0.175535,0.002988,0.782465,0.005790,0.733681,0.007284
no_recovery_feasibility_gate,10,0.444864,0.002941,0.311130,0.002958,0.251365,0.002470,0.581597,0.012203,0.473003,0.008512,0.139497,0.010365,0.007552,0.002123,0.317877,0.001953,0.354235,0.005298,-0.050083,0.005592,0.480556,0.008823,0.457726,0.008967
v4_abstraction_audit_rules,10,0.551145,0.000555,0.198796,0.000349,0.169676,0.000449,0.581597,0.012203,0.871615,0.001147,0.139497,0.010365,0.053646,0.002912,0.359194,0.000580,0.141337,0.000641,0.162815,0.000718,1.000000,0.000000,0.570486,0.006038
