method,damage_budget,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
learned_failure_classifier_tamp,0.150000,10,0.203582,0.021483,0.122909,0.020422,0.100882,0.015888,0.445486,0.021087,0.757639,0.034639,0.377431,0.053318,0.078819,0.008369,0.335772,0.009205,0.466503,0.022873,-0.198864,0.023051,0.836458,0.039153,0.345833,0.042479
llm_tamp_failure_reasoning,0.000000,10,0.519591,0.005977,0.206481,0.007268,0.168958,0.005986,0.363889,0.020712,0.798611,0.008052,0.378125,0.038557,0.050694,0.008971,0.355985,0.003576,0.161709,0.006521,0.117086,0.006947,0.849306,0.015224,0.000000,0.000000
llm_tamp_failure_reasoning,0.020000,10,0.501538,0.007257,0.200368,0.008023,0.163951,0.006568,0.363889,0.020712,0.798611,0.008052,0.378125,0.038557,0.050694,0.008971,0.355711,0.003450,0.176359,0.006493,0.101214,0.006747,0.849306,0.015224,0.000000,0.000000
llm_tamp_failure_reasoning,0.050000,10,0.463536,0.010496,0.187655,0.008957,0.153590,0.007317,0.363889,0.020712,0.798611,0.008052,0.378125,0.038557,0.050694,0.008971,0.354442,0.002592,0.207979,0.007192,0.067246,0.007398,0.849306,0.015224,0.000000,0.000000
llm_tamp_failure_reasoning,0.080000,10,0.412328,0.012726,0.171378,0.009347,0.140054,0.007553,0.363889,0.020712,0.798611,0.008052,0.378125,0.038557,0.050694,0.008971,0.349133,0.002694,0.253760,0.009232,0.019287,0.009475,0.849306,0.015224,0.012500,0.003823
llm_tamp_failure_reasoning,0.100000,10,0.372338,0.013833,0.151149,0.010051,0.123663,0.007950,0.363889,0.020712,0.810764,0.006899,0.378125,0.038557,0.056944,0.009688,0.347413,0.002980,0.286033,0.010172,-0.014112,0.010381,0.867708,0.015894,0.103125,0.018150
llm_tamp_failure_reasoning,0.150000,10,0.262652,0.022437,0.096869,0.010022,0.080069,0.007959,0.363889,0.020712,0.840972,0.005252,0.378125,0.038557,0.080903,0.005276,0.338616,0.003463,0.378677,0.020107,-0.108818,0.020477,0.921875,0.010056,0.368056,0.027411
physics_aware_tamp,0.000000,10,0.633937,0.008554,0.172487,0.002946,0.141750,0.002406,0.337500,0.019483,0.863542,0.004064,0.294444,0.026838,0.050347,0.006672,0.416626,0.002471,0.083752,0.007106,0.255018,0.008764,0.913889,0.006400,0.000000,0.000000
physics_aware_tamp,0.020000,10,0.618199,0.008751,0.169614,0.003192,0.139625,0.002590,0.337500,0.019483,0.863542,0.004064,0.294444,0.026838,0.050347,0.006672,0.416931,0.002475,0.094396,0.007446,0.240265,0.008853,0.913889,0.006400,0.000000,0.000000
physics_aware_tamp,0.050000,10,0.575413,0.010891,0.161940,0.003675,0.133718,0.003053,0.337500,0.019483,0.863542,0.004064,0.294444,0.026838,0.050347,0.006672,0.415749,0.002989,0.125290,0.010580,0.199180,0.011279,0.913889,0.006400,0.000000,0.000000
physics_aware_tamp,0.080000,10,0.507780,0.015023,0.148871,0.004438,0.123278,0.003581,0.337500,0.019483,0.863542,0.004064,0.294444,0.026838,0.050347,0.006672,0.410674,0.003298,0.177661,0.013629,0.133192,0.015262,0.913889,0.006400,0.012847,0.003522
physics_aware_tamp,0.100000,10,0.457581,0.014905,0.135514,0.003378,0.112731,0.002780,0.337500,0.019483,0.866319,0.003403,0.294444,0.026838,0.054861,0.005985,0.407686,0.002941,0.215728,0.012897,0.085921,0.015082,0.921181,0.004764,0.160764,0.018487
physics_aware_tamp,0.150000,10,0.298641,0.020107,0.087496,0.005973,0.073844,0.005085,0.337500,0.019483,0.871528,0.002029,0.294444,0.026838,0.085069,0.005671,0.387383,0.003980,0.348474,0.018064,-0.066975,0.019898,0.956597,0.006356,0.514931,0.026689
proposed_abstraction_failure_audit_v4,0.000000,10,0.494472,0.006475,0.196450,0.004226,0.162714,0.003744,0.493403,0.017438,0.869097,0.002495,0.426042,0.039813,0.060417,0.004887,0.353741,0.003946,0.160749,0.005212,0.106889,0.005102,1.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,0.020000,10,0.473078,0.008172,0.185606,0.005307,0.153738,0.004633,0.493403,0.017438,0.869444,0.001815,0.426042,0.039813,0.060417,0.006970,0.356793,0.003278,0.178339,0.006558,0.089299,0.006390,1.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,0.050000,10,0.435349,0.014979,0.163882,0.007237,0.136268,0.006200,0.493403,0.017438,0.870139,0.001815,0.426042,0.039813,0.065625,0.008145,0.364388,0.002742,0.208497,0.013763,0.059142,0.013424,1.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,0.080000,10,0.383103,0.018870,0.138709,0.008594,0.115891,0.007082,0.493403,0.017438,0.872222,0.002223,0.426042,0.039813,0.071528,0.007330,0.366181,0.004485,0.254891,0.017906,0.012747,0.017589,1.000000,0.000000,0.015278,0.005291
proposed_abstraction_failure_audit_v4,0.100000,10,0.338834,0.018479,0.118952,0.008413,0.099735,0.006777,0.493403,0.017438,0.872569,0.002280,0.426042,0.039813,0.078125,0.005392,0.365675,0.005169,0.295356,0.017851,-0.027718,0.017628,1.000000,0.000000,0.110069,0.011023
proposed_abstraction_failure_audit_v4,0.150000,10,0.222858,0.022874,0.071255,0.009052,0.060294,0.007298,0.493403,0.017438,0.873611,0.001111,0.426042,0.039813,0.098958,0.005098,0.355984,0.003612,0.406200,0.022507,-0.138562,0.022565,1.000000,0.000000,0.356597,0.026241
risk_bounded_abstraction_failure_audit_v5,0.000000,10,0.240976,0.005470,0.476750,0.010256,0.372204,0.007834,0.542014,0.020072,0.122917,0.022370,0.253472,0.032983,0.003819,0.002368,0.226370,0.005300,0.668906,0.012843,-0.401267,0.013003,0.126736,0.023863,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,0.020000,10,0.235205,0.004805,0.470256,0.011672,0.367150,0.008879,0.542014,0.020072,0.126736,0.023733,0.253472,0.032983,0.005208,0.002536,0.229722,0.005829,0.671014,0.012238,-0.403375,0.012379,0.131944,0.024809,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,0.050000,10,0.247955,0.009211,0.429314,0.014526,0.335980,0.011324,0.542014,0.020072,0.209722,0.029547,0.253472,0.032983,0.009028,0.003077,0.250284,0.007423,0.627627,0.017901,-0.359988,0.018109,0.218750,0.030266,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,0.080000,10,0.258775,0.009505,0.368867,0.020351,0.289472,0.015493,0.542014,0.020072,0.326736,0.040952,0.253472,0.032983,0.019792,0.004428,0.278567,0.010141,0.573474,0.022505,-0.305836,0.022487,0.346528,0.042860,0.007986,0.003936
risk_bounded_abstraction_failure_audit_v5,0.100000,10,0.258496,0.009806,0.322612,0.022739,0.253859,0.017021,0.542014,0.020072,0.413889,0.044774,0.253472,0.032983,0.027083,0.004514,0.297022,0.010949,0.542785,0.023178,-0.275146,0.023123,0.440972,0.047704,0.076736,0.014995
risk_bounded_abstraction_failure_audit_v5,0.150000,10,0.240305,0.011501,0.200726,0.020703,0.159712,0.015875,0.542014,0.020072,0.629861,0.032986,0.253472,0.032983,0.055556,0.007726,0.340018,0.006034,0.483722,0.010179,-0.216084,0.009922,0.685417,0.039399,0.342708,0.017128
runtime_monitor_replanner,0.000000,10,0.340436,0.009657,0.264502,0.010868,0.205881,0.008438,0.208333,0.014526,0.321875,0.030571,0.444444,0.037769,0.018750,0.002313,0.258535,0.006997,0.355600,0.015753,-0.087961,0.015501,0.747569,0.025037,0.000000,0.000000
runtime_monitor_replanner,0.020000,10,0.331644,0.010396,0.252288,0.011455,0.197325,0.009022,0.208333,0.014526,0.376389,0.028265,0.444444,0.037769,0.023264,0.003665,0.263124,0.006471,0.361824,0.015881,-0.094186,0.015688,0.747569,0.025037,0.000000,0.000000
runtime_monitor_replanner,0.050000,10,0.308351,0.012009,0.230850,0.013199,0.181844,0.010316,0.208333,0.014526,0.461806,0.030027,0.444444,0.037769,0.033681,0.003936,0.268081,0.005947,0.381786,0.015553,-0.114147,0.015588,0.747569,0.025037,0.000000,0.000000
runtime_monitor_replanner,0.080000,10,0.282996,0.015302,0.206412,0.014261,0.164222,0.011206,0.208333,0.014526,0.559375,0.031702,0.444444,0.037769,0.046875,0.005580,0.274229,0.006892,0.403194,0.018911,-0.135556,0.019126,0.747569,0.025037,0.014583,0.005349
runtime_monitor_replanner,0.100000,10,0.265482,0.016935,0.177211,0.014093,0.141836,0.011330,0.208333,0.014526,0.619444,0.030286,0.444444,0.037769,0.056597,0.006420,0.280615,0.006616,0.406836,0.019146,-0.139198,0.019477,0.789236,0.022890,0.105556,0.015526
runtime_monitor_replanner,0.150000,10,0.198824,0.019882,0.105585,0.009973,0.085068,0.008240,0.208333,0.014526,0.740278,0.018893,0.444444,0.037769,0.082986,0.004699,0.286815,0.006769,0.442598,0.022049,-0.174960,0.022272,0.890972,0.016738,0.309375,0.038343
semantic_model_predictive_planner,0.000000,10,0.519357,0.004995,0.220212,0.004607,0.179496,0.003862,0.373611,0.014390,0.781597,0.006988,0.323958,0.032765,0.050694,0.006590,0.371422,0.002842,0.170013,0.004656,0.101899,0.005055,0.832292,0.010448,0.000000,0.000000
semantic_model_predictive_planner,0.020000,10,0.503175,0.006255,0.215081,0.005313,0.175380,0.004569,0.373611,0.014390,0.781597,0.006988,0.323958,0.032765,0.050694,0.006590,0.371222,0.002474,0.184053,0.004821,0.087491,0.005063,0.832292,0.010448,0.000000,0.000000
semantic_model_predictive_planner,0.050000,10,0.466248,0.010697,0.202945,0.006854,0.165489,0.005781,0.373611,0.014390,0.781597,0.006988,0.323958,0.032765,0.050694,0.006590,0.370773,0.002590,0.216219,0.008268,0.054579,0.008593,0.832292,0.010448,0.000000,0.000000
semantic_model_predictive_planner,0.080000,10,0.414750,0.011490,0.186510,0.006506,0.152152,0.005484,0.373611,0.014390,0.781597,0.006988,0.323958,0.032765,0.050694,0.006590,0.368746,0.003298,0.262136,0.009775,0.007735,0.010118,0.832292,0.010448,0.013889,0.005463
semantic_model_predictive_planner,0.100000,10,0.382205,0.013466,0.166654,0.007526,0.136736,0.006119,0.373611,0.014390,0.796528,0.008129,0.323958,0.032765,0.057986,0.006884,0.370272,0.003794,0.286495,0.011590,-0.017001,0.011842,0.854514,0.010853,0.101736,0.008789
semantic_model_predictive_planner,0.150000,10,0.266827,0.017943,0.107186,0.008761,0.088528,0.006965,0.373611,0.014390,0.830208,0.006764,0.323958,0.032765,0.083681,0.006372,0.362536,0.004895,0.383342,0.016596,-0.114763,0.017058,0.913889,0.011735,0.398264,0.032050
