method,damage_budget,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
grounded_geometric_tamp,0.000000,10,0.568515,0.007622,0.217105,0.003476,0.177630,0.003023,0.275347,0.019595,0.789583,0.008798,0.320833,0.033142,0.046528,0.004328,0.364337,0.002631,0.145850,0.006608,0.160262,0.008129,0.836111,0.007510,0.000000,0.000000
grounded_geometric_tamp,0.020000,10,0.552154,0.007284,0.212331,0.003584,0.173925,0.003053,0.275347,0.019595,0.789583,0.008798,0.320833,0.033142,0.046528,0.004328,0.366570,0.002771,0.156410,0.007124,0.146567,0.008067,0.836111,0.007510,0.000000,0.000000
grounded_geometric_tamp,0.050000,10,0.511035,0.007883,0.201432,0.004544,0.165172,0.003816,0.275347,0.019595,0.789583,0.008798,0.320833,0.033142,0.046528,0.004328,0.367038,0.004877,0.186044,0.008581,0.109957,0.008587,0.836111,0.007510,0.000000,0.000000
grounded_geometric_tamp,0.080000,10,0.447391,0.012748,0.184658,0.006302,0.151161,0.005382,0.275347,0.019595,0.789583,0.008798,0.320833,0.033142,0.046528,0.004328,0.361158,0.004410,0.238118,0.010767,0.050017,0.011046,0.836111,0.007510,0.010069,0.003988
grounded_geometric_tamp,0.100000,10,0.400476,0.010068,0.162978,0.006985,0.133864,0.005801,0.275347,0.019595,0.803125,0.009891,0.320833,0.033142,0.053819,0.004090,0.360007,0.004185,0.273074,0.006057,0.010697,0.006394,0.856944,0.009930,0.107292,0.014787
grounded_geometric_tamp,0.150000,10,0.274216,0.020361,0.105347,0.011835,0.087390,0.009596,0.275347,0.019595,0.834028,0.010135,0.320833,0.033142,0.079861,0.006955,0.351578,0.002749,0.373354,0.015808,-0.098802,0.016535,0.913889,0.015579,0.433681,0.029411
learned_failure_classifier_tamp,0.000000,10,0.402716,0.007795,0.300166,0.013456,0.241990,0.010214,0.445486,0.021087,0.572222,0.031853,0.377431,0.053318,0.017361,0.004183,0.309107,0.008047,0.351243,0.017156,-0.083604,0.016766,0.589583,0.034176,0.000000,0.000000
learned_failure_classifier_tamp,0.020000,10,0.387545,0.007075,0.292552,0.014784,0.236025,0.011325,0.445486,0.021087,0.572569,0.032121,0.377431,0.053318,0.019444,0.004328,0.311643,0.008411,0.362935,0.015723,-0.095297,0.015321,0.592014,0.034912,0.000000,0.000000
learned_failure_classifier_tamp,0.050000,10,0.355061,0.007306,0.275230,0.016454,0.222452,0.012811,0.445486,0.021087,0.573958,0.031352,0.377431,0.053318,0.027083,0.004737,0.316116,0.006917,0.388145,0.010287,-0.120506,0.009916,0.601042,0.034708,0.000000,0.000000
learned_failure_classifier_tamp,0.080000,10,0.301373,0.015790,0.249801,0.019363,0.202211,0.015153,0.445486,0.021087,0.576042,0.030595,0.377431,0.053318,0.038889,0.005810,0.316342,0.005468,0.434272,0.011365,-0.166633,0.011216,0.614931,0.035543,0.013542,0.005779
learned_failure_classifier_tamp,0.100000,10,0.280533,0.018115,0.211116,0.022347,0.171594,0.017337,0.445486,0.021087,0.635417,0.033479,0.377431,0.053318,0.050347,0.009422,0.327171,0.006560,0.432262,0.013684,-0.164624,0.013533,0.685764,0.041275,0.120139,0.014138
