method,split,seed,task,failure_family,episodes,failure_correct_count,actionable_count,mechanics_retained_count,nonactionable_count,false_alarm_count,success_count,mechanical_violation_count,damage_count,replan_attempt_count,replan_success_count,cost_sum,regret_sum,refinement_info_sum,refinement_count,abstraction_failure_accuracy,mechanics_retention_recall,false_refinement_alarm_rate,calibration_error,predicate_refinement_informativeness,task_success,mechanical_violation_rate,damage_unsafe_rate,recovery_replan_success,planning_cost,planning_regret_to_oracle
language_symbolic_planner,nominal_abstraction,0,tabletop_manipulation_with_support,erased_contact_force,84,18,84,1,0,0,36,25,32,1,0,4.305000,24.241364,0.000000,0,0.214286,0.011905,0.000000,0.383844,0.000000,0.428571,0.297619,0.380952,0.000000,0.051250,0.288588
language_symbolic_planner,nominal_abstraction,0,tabletop_manipulation_with_support,hidden_support_relation,84,15,84,0,0,0,42,28,19,0,0,4.200000,22.997972,0.000000,0,0.178571,0.000000,0.000000,0.276274,0.000000,0.500000,0.333333,0.226190,0.000000,0.050000,0.273785
language_symbolic_planner,nominal_abstraction,0,tabletop_manipulation_with_support,clearance_tolerance_collapse,84,12,84,0,0,0,31,31,30,0,0,4.200000,29.529329,0.000000,0,0.142857,0.000000,0.000000,0.396780,0.000000,0.369048,0.369048,0.357143,0.000000,0.050000,0.351540
language_symbolic_planner,nominal_abstraction,0,tabletop_manipulation_with_support,friction_state_aliasing,84,4,84,0,0,0,40,30,23,0,0,4.200000,15.798110,0.000000,0,0.047619,0.000000,0.000000,0.394532,0.000000,0.476190,0.357143,0.273810,0.000000,0.050000,0.188073
language_symbolic_planner,nominal_abstraction,0,tabletop_manipulation_with_support,deformable_constraint_erasure,84,8,84,2,0,0,26,33,29,2,1,4.410000,25.419002,0.000000,0,0.095238,0.023810,0.000000,0.488745,0.000000,0.309524,0.392857,0.345238,0.500000,0.052500,0.302607
language_symbolic_planner,nominal_abstraction,0,tabletop_manipulation_with_support,temporal_precondition_loss,84,6,0,0,84,0,52,26,12,0,0,4.200000,6.701219,0.000000,0,0.071429,0.000000,0.000000,0.199199,0.000000,0.619048,0.309524,0.142857,0.000000,0.050000,0.079776
language_symbolic_planner,nominal_abstraction,0,tabletop_manipulation_with_support,tool_affordance_misabstraction,84,8,84,0,0,0,35,28,13,0,0,4.200000,22.012922,0.000000,0,0.095238,0.000000,0.000000,0.378905,0.000000,0.416667,0.333333,0.154762,0.000000,0.050000,0.262059
language_symbolic_planner,nominal_abstraction,0,tool_use_with_hidden_leverage,erased_contact_force,84,21,84,1,0,0,31,32,27,1,1,4.305000,26.424167,0.000000,0,0.250000,0.011905,0.000000,0.434132,0.000000,0.369048,0.380952,0.321429,1.000000,0.051250,0.314573
language_symbolic_planner,nominal_abstraction,0,tool_use_with_hidden_leverage,hidden_support_relation,84,15,84,0,0,0,30,35,23,0,0,4.200000,25.897248,0.000000,0,0.178571,0.000000,0.000000,0.367873,0.000000,0.357143,0.416667,0.273810,0.000000,0.050000,0.308301
language_symbolic_planner,nominal_abstraction,0,tool_use_with_hidden_leverage,clearance_tolerance_collapse,84,9,84,2,0,0,34,41,28,2,1,4.410000,31.573934,0.000000,0,0.107143,0.023810,0.000000,0.406794,0.000000,0.404762,0.488095,0.333333,0.500000,0.052500,0.375880
