method,seed,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,0,192,0.518374,0.007332,0.218345,0.008014,0.184826,0.006598,0.412326,0.027815,0.781250,0.052446,0.185764,0.022725,0.123264,0.046309,0.299578,0.005916,0.170628,0.014695,0.132836,0.013984,0.904514,0.031958,0.615451,0.045289
active_relational_abstraction,1,192,0.520820,0.007233,0.217770,0.008125,0.183456,0.006629,0.395833,0.029199,0.779514,0.053455,0.238715,0.031964,0.123264,0.046309,0.300654,0.006291,0.166985,0.014966,0.136150,0.013882,0.902778,0.033716,0.614583,0.042791
active_relational_abstraction,2,192,0.526694,0.006939,0.213999,0.007710,0.179306,0.006254,0.413194,0.026641,0.787326,0.052477,0.263889,0.030067,0.124132,0.046607,0.303635,0.006110,0.159307,0.014247,0.145948,0.013137,0.911458,0.031538,0.659722,0.042805
active_relational_abstraction,3,192,0.518722,0.007167,0.219531,0.008159,0.184364,0.006600,0.411458,0.027812,0.775174,0.053118,0.218750,0.028301,0.125000,0.046903,0.298907,0.006247,0.170948,0.014937,0.133111,0.013827,0.900174,0.033520,0.618056,0.041912
active_relational_abstraction,4,192,0.515643,0.007711,0.222193,0.008529,0.186977,0.007100,0.406250,0.028095,0.765625,0.053246,0.204861,0.027182,0.121528,0.045706,0.297025,0.006363,0.177420,0.015524,0.127397,0.014880,0.887153,0.034371,0.614583,0.044719
active_relational_abstraction,5,192,0.523107,0.006842,0.216406,0.007451,0.181213,0.006230,0.421875,0.030601,0.785590,0.051437,0.264757,0.031292,0.125000,0.046903,0.301612,0.005647,0.163986,0.013820,0.140442,0.013019,0.910590,0.029925,0.623264,0.044055
active_relational_abstraction,6,192,0.521967,0.007462,0.216765,0.008060,0.183016,0.006629,0.411458,0.028940,0.786458,0.052986,0.239583,0.024558,0.124132,0.046607,0.300286,0.006008,0.165078,0.014748,0.138353,0.014172,0.910590,0.032444,0.611111,0.045089
active_relational_abstraction,7,192,0.518848,0.007747,0.218685,0.008642,0.183718,0.006994,0.402778,0.028578,0.776910,0.053537,0.206597,0.026808,0.124132,0.046607,0.299047,0.006314,0.170996,0.015812,0.134134,0.014917,0.901042,0.034045,0.613715,0.043678
active_relational_abstraction,8,192,0.519989,0.006984,0.218102,0.007636,0.184368,0.006456,0.411458,0.026853,0.782118,0.052213,0.226562,0.024849,0.121528,0.045706,0.298673,0.005828,0.169137,0.014130,0.135302,0.013405,0.903646,0.031492,0.611111,0.045218
active_relational_abstraction,9,192,0.521599,0.007186,0.217490,0.007906,0.183157,0.006557,0.394965,0.028480,0.782986,0.052867,0.229167,0.027874,0.121528,0.045706,0.301047,0.006056,0.166222,0.014533,0.137142,0.013770,0.904514,0.032500,0.608507,0.043545
