method,seed,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
failure_classifier_only,0,192,0.325888,0.009930,0.423347,0.008658,0.343843,0.007517,0.613715,0.028829,0.181424,0.026728,0.124132,0.020219,0.000868,0.001701,0.229780,0.005143,0.567192,0.016979,-0.263728,0.018568,0.182292,0.026663,0.118056,0.020729
failure_classifier_only,1,192,0.317828,0.008940,0.432451,0.007378,0.349442,0.007161,0.573785,0.030770,0.156250,0.022192,0.108507,0.018657,0.000000,0.000000,0.224419,0.004268,0.581983,0.014942,-0.278848,0.017110,0.156250,0.022192,0.095486,0.016271
failure_classifier_only,2,192,0.334999,0.009869,0.417388,0.008859,0.335219,0.007357,0.597222,0.027541,0.200521,0.026922,0.150174,0.023084,0.001736,0.002400,0.233193,0.005095,0.551640,0.016835,-0.246386,0.018548,0.202257,0.026768,0.131076,0.021994
failure_classifier_only,3,192,0.330897,0.008003,0.417704,0.006993,0.337431,0.006636,0.562500,0.032768,0.196181,0.023635,0.141493,0.020514,0.001736,0.002400,0.233695,0.004993,0.556534,0.013663,-0.252474,0.015266,0.197917,0.023467,0.138889,0.020517
failure_classifier_only,4,192,0.344317,0.010002,0.407333,0.008838,0.329627,0.008050,0.553819,0.031912,0.230903,0.029912,0.156250,0.024558,0.000868,0.001701,0.238943,0.005728,0.534442,0.017206,-0.229625,0.018870,0.231771,0.029825,0.155382,0.023889
failure_classifier_only,5,192,0.334962,0.009116,0.415045,0.007951,0.333794,0.007106,0.554688,0.030531,0.208333,0.026537,0.152778,0.020659,0.002604,0.002931,0.235649,0.005139,0.549496,0.015657,-0.245068,0.017150,0.210938,0.026286,0.147569,0.020856
failure_classifier_only,6,192,0.338317,0.009050,0.412532,0.008218,0.334778,0.007482,0.591146,0.029624,0.211806,0.030030,0.146701,0.025771,0.001736,0.002400,0.235662,0.005790,0.544400,0.016946,-0.240970,0.017241,0.213542,0.029880,0.117188,0.019154
failure_classifier_only,7,192,0.346384,0.009358,0.405393,0.008601,0.327872,0.007867,0.591146,0.029917,0.232639,0.031635,0.159722,0.023493,0.000000,0.000000,0.239482,0.006127,0.530524,0.017242,-0.225395,0.017766,0.232639,0.031635,0.143229,0.020976
failure_classifier_only,8,192,0.328984,0.008267,0.422186,0.007168,0.341764,0.006551,0.588542,0.030025,0.181424,0.024808,0.126736,0.020540,0.000868,0.001701,0.229453,0.004671,0.562763,0.014179,-0.258324,0.015720,0.182292,0.024738,0.102431,0.018489
failure_classifier_only,9,192,0.329093,0.009372,0.418522,0.008964,0.338726,0.008102,0.589410,0.028429,0.191840,0.029379,0.128472,0.025412,0.003472,0.005372,0.233696,0.006137,0.559049,0.017394,-0.255685,0.018153,0.195312,0.029414,0.129340,0.023474
