method,seed,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
full_risk_bounded_abstraction_failure_audit_v5,0,192,0.286292,0.010201,0.459496,0.008501,0.372473,0.007609,0.613715,0.028829,0.062500,0.015162,0.124132,0.020219,0.000000,0.000000,0.209228,0.003598,0.639737,0.016480,-0.336272,0.019306,0.063368,0.015185,0.046007,0.012807
full_risk_bounded_abstraction_failure_audit_v5,1,192,0.278210,0.010488,0.468376,0.008181,0.377648,0.008046,0.573785,0.030770,0.041667,0.011570,0.108507,0.018657,0.000000,0.000000,0.203835,0.002612,0.654100,0.016543,-0.350965,0.020057,0.041667,0.011570,0.029514,0.009647
full_risk_bounded_abstraction_failure_audit_v5,2,192,0.293589,0.009987,0.455144,0.008401,0.364940,0.007493,0.597222,0.027541,0.077257,0.015979,0.150174,0.023084,0.000000,0.000000,0.211641,0.003703,0.627295,0.015965,-0.322041,0.019015,0.077257,0.015979,0.058160,0.014636
full_risk_bounded_abstraction_failure_audit_v5,3,192,0.289501,0.009883,0.456079,0.008509,0.367503,0.007774,0.562500,0.032768,0.070312,0.016958,0.141493,0.020514,0.000868,0.001701,0.211909,0.004397,0.632688,0.016174,-0.328628,0.018987,0.072049,0.017154,0.057292,0.015940
full_risk_bounded_abstraction_failure_audit_v5,4,192,0.290155,0.010669,0.457341,0.008957,0.368316,0.007845,0.553819,0.031912,0.067708,0.015287,0.156250,0.024558,0.000868,0.001701,0.210194,0.003586,0.633389,0.017005,-0.328572,0.020109,0.068576,0.015305,0.053819,0.014065
full_risk_bounded_abstraction_failure_audit_v5,5,192,0.289037,0.009612,0.457625,0.007735,0.366535,0.007253,0.554688,0.030531,0.069444,0.013928,0.152778,0.020659,0.000000,0.000000,0.211110,0.003327,0.633593,0.015122,-0.329165,0.018219,0.070312,0.013945,0.052951,0.012016
full_risk_bounded_abstraction_failure_audit_v5,6,192,0.289756,0.009793,0.456790,0.008032,0.369271,0.007663,0.591146,0.029624,0.071181,0.017311,0.146701,0.025771,0.000000,0.000000,0.210661,0.003774,0.632965,0.016164,-0.329535,0.018777,0.072049,0.017322,0.048611,0.013396
full_risk_bounded_abstraction_failure_audit_v5,7,192,0.288192,0.009883,0.458777,0.008079,0.369920,0.007919,0.591146,0.029917,0.059028,0.014058,0.159722,0.023493,0.000000,0.000000,0.208400,0.003333,0.636898,0.015960,-0.331769,0.018963,0.059896,0.014088,0.041667,0.011818
full_risk_bounded_abstraction_failure_audit_v5,8,192,0.282982,0.010080,0.464023,0.008053,0.375456,0.007660,0.588542,0.030025,0.046875,0.012160,0.126736,0.020540,0.000000,0.000000,0.205064,0.002727,0.647045,0.015824,-0.342606,0.019259,0.046875,0.012160,0.034722,0.010469
full_risk_bounded_abstraction_failure_audit_v5,9,192,0.283035,0.010442,0.461801,0.009323,0.372282,0.008581,0.589410,0.028429,0.054688,0.018079,0.128472,0.025412,0.000868,0.001701,0.208397,0.004670,0.643743,0.017763,-0.340379,0.020278,0.057292,0.018318,0.043403,0.015725
grounded_tamp_only,0,192,0.566187,0.024271,0.261405,0.016800,0.220433,0.013335,0.613715,0.028829,0.585069,0.059386,0.124132,0.020219,0.010417,0.007085,0.313449,0.015875,0.233730,0.032879,0.124212,0.037123,0.595486,0.057721,0.595486,0.057721
grounded_tamp_only,1,192,0.556985,0.024267,0.269664,0.016847,0.225336,0.013400,0.573785,0.030770,0.565104,0.059232,0.108507,0.018657,0.009549,0.006466,0.307489,0.015875,0.246891,0.033040,0.109192,0.037223,0.574653,0.057734,0.574653,0.057734
grounded_tamp_only,2,192,0.575097,0.022778,0.256213,0.015717,0.213623,0.012595,0.597222,0.027541,0.593750,0.057323,0.150174,0.023084,0.019965,0.010549,0.318245,0.014879,0.222560,0.030817,0.139022,0.034879,0.613715,0.054041,0.612847,0.053997
grounded_tamp_only,3,192,0.569113,0.023182,0.257141,0.015946,0.215425,0.012823,0.562500,0.032768,0.591146,0.058038,0.141493,0.020514,0.020833,0.011695,0.317922,0.015070,0.227681,0.031377,0.131339,0.035438,0.611979,0.054861,0.611979,0.054861
grounded_tamp_only,4,192,0.570269,0.023261,0.259256,0.016252,0.216584,0.012914,0.553819,0.031912,0.591146,0.057585,0.156250,0.024558,0.013889,0.007755,0.315623,0.015106,0.228862,0.031481,0.131399,0.035826,0.605035,0.055190,0.605035,0.055190
grounded_tamp_only,5,192,0.569065,0.023285,0.258701,0.016114,0.215083,0.012731,0.554688,0.030531,0.592014,0.057885,0.152778,0.020659,0.015625,0.009392,0.316652,0.015204,0.228224,0.031440,0.131164,0.035595,0.607639,0.055378,0.607639,0.055378
grounded_tamp_only,6,192,0.569840,0.022923,0.258825,0.015935,0.217339,0.012725,0.591146,0.029624,0.588542,0.058244,0.146701,0.025771,0.015625,0.010559,0.315769,0.015406,0.228017,0.031215,0.130615,0.035031,0.604167,0.055982,0.603299,0.055884
grounded_tamp_only,7,192,0.574248,0.023163,0.255182,0.016121,0.213684,0.012810,0.591146,0.029917,0.601562,0.058141,0.159722,0.023493,0.010417,0.007484,0.317626,0.015486,0.221746,0.031451,0.138988,0.035403,0.611979,0.056430,0.611979,0.056430
grounded_tamp_only,8,192,0.573777,0.023486,0.256946,0.016274,0.215482,0.012764,0.588542,0.030025,0.598090,0.058461,0.126736,0.020540,0.010417,0.006209,0.316707,0.015550,0.223781,0.031563,0.136584,0.035784,0.608507,0.056618,0.608507,0.056618
grounded_tamp_only,9,192,0.568544,0.023551,0.257206,0.016392,0.215784,0.013180,0.589410,0.028429,0.592882,0.058830,0.128472,0.025412,0.017361,0.012982,0.317377,0.015567,0.227381,0.032021,0.130701,0.036092,0.610243,0.056705,0.610243,0.056705
monitor_only,0,192,0.307786,0.010897,0.380374,0.015909,0.303971,0.013628,0.613715,0.028829,0.007812,0.004996,0.124132,0.020219,0.000000,0.000000,0.148593,0.005618,0.497564,0.024509,-0.194099,0.027049,0.414062,0.048066,0.256076,0.051225
monitor_only,1,192,0.304177,0.011147,0.385990,0.016250,0.307675,0.014034,0.573785,0.030770,0.003472,0.003376,0.108507,0.018657,0.000000,0.000000,0.146197,0.005617,0.505761,0.024783,-0.202626,0.027841,0.400174,0.048672,0.246528,0.053016
monitor_only,2,192,0.311058,0.010576,0.378179,0.015629,0.298876,0.013123,0.597222,0.027541,0.006076,0.004430,0.150174,0.023084,0.000000,0.000000,0.148987,0.005397,0.491306,0.023611,-0.186052,0.026307,0.421007,0.046712,0.258681,0.050473
monitor_only,3,192,0.311214,0.010106,0.377786,0.014596,0.300344,0.012508,0.562500,0.032768,0.019097,0.012933,0.141493,0.020514,0.000000,0.000000,0.150445,0.005548,0.491396,0.022403,-0.187337,0.024939,0.414931,0.043423,0.263889,0.049224
monitor_only,4,192,0.315865,0.010416,0.367132,0.015371,0.291764,0.013415,0.553819,0.031912,0.006944,0.004723,0.156250,0.024558,0.000000,0.000000,0.153796,0.005474,0.476553,0.023457,-0.171735,0.026181,0.460069,0.046871,0.268229,0.050249
monitor_only,5,192,0.312040,0.010422,0.374112,0.015460,0.295749,0.013202,0.554688,0.030531,0.013889,0.006533,0.152778,0.020659,0.000868,0.001701,0.152293,0.005518,0.486275,0.023530,-0.181847,0.026157,0.437500,0.046934,0.274306,0.050601
monitor_only,6,192,0.313341,0.010317,0.371268,0.015633,0.295886,0.013491,0.591146,0.029624,0.007812,0.004996,0.146701,0.025771,0.000868,0.001701,0.152293,0.005777,0.482426,0.023923,-0.178996,0.026179,0.445312,0.048798,0.253472,0.052186
monitor_only,7,192,0.318565,0.009892,0.365262,0.015202,0.290207,0.013308,0.591146,0.029917,0.012153,0.006146,0.159722,0.023493,0.000000,0.000000,0.154464,0.005681,0.472240,0.023219,-0.167111,0.025370,0.460069,0.048518,0.269965,0.051719
monitor_only,8,192,0.310131,0.010198,0.379220,0.015369,0.302234,0.013085,0.588542,0.030025,0.005208,0.004113,0.126736,0.020540,0.000000,0.000000,0.148086,0.005427,0.494061,0.023235,-0.189622,0.025749,0.414062,0.047579,0.246528,0.051738
monitor_only,9,192,0.309141,0.010687,0.378874,0.016002,0.301938,0.013745,0.589410,0.028429,0.019097,0.010986,0.128472,0.025412,0.000868,0.001701,0.150931,0.006200,0.494755,0.024557,-0.191392,0.026829,0.414062,0.048727,0.257812,0.050763
no_calibration,0,192,0.405425,0.019302,0.350674,0.016649,0.293979,0.014860,0.613715,0.028829,0.361111,0.053474,0.124132,0.020219,0.001736,0.002400,0.284725,0.014642,0.432680,0.032267,-0.129215,0.033916,0.362847,0.053291,0.319444,0.053907
no_calibration,1,192,0.398375,0.019172,0.358188,0.016515,0.298425,0.014860,0.573785,0.030770,0.340278,0.052844,0.108507,0.018657,0.000868,0.001701,0.280082,0.014675,0.445009,0.032039,-0.141874,0.033753,0.341146,0.052759,0.291667,0.054533
no_calibration,2,192,0.414003,0.018466,0.344729,0.016028,0.285567,0.014210,0.597222,0.027541,0.378472,0.051963,0.150174,0.023084,0.005208,0.004768,0.288466,0.014258,0.417959,0.030794,-0.112704,0.032433,0.383681,0.051416,0.332465,0.053374
no_calibration,3,192,0.411942,0.018237,0.345601,0.015706,0.288129,0.014209,0.562500,0.032768,0.374132,0.052063,0.141493,0.020514,0.002604,0.002931,0.288043,0.014433,0.420996,0.030643,-0.116937,0.031958,0.376736,0.051768,0.335069,0.053509
no_calibration,4,192,0.415208,0.017783,0.342693,0.015343,0.285850,0.014062,0.553819,0.031912,0.388021,0.051128,0.156250,0.024558,0.002604,0.002931,0.288401,0.013786,0.415312,0.029832,-0.110494,0.031457,0.390625,0.050813,0.333333,0.052077
no_calibration,5,192,0.415271,0.018308,0.343120,0.015904,0.284246,0.014170,0.554688,0.030531,0.385417,0.052112,0.152778,0.020659,0.005208,0.004768,0.290333,0.014392,0.414763,0.030644,-0.110335,0.032099,0.390625,0.051552,0.343750,0.053435
no_calibration,6,192,0.413776,0.017545,0.343896,0.015256,0.287781,0.013959,0.591146,0.029624,0.380208,0.052378,0.146701,0.025771,0.003472,0.004149,0.287708,0.014171,0.417154,0.029946,-0.113724,0.030893,0.383681,0.052034,0.314236,0.052618
no_calibration,7,192,0.417757,0.017761,0.340909,0.015421,0.284367,0.014097,0.591146,0.029917,0.389757,0.052383,0.159722,0.023493,0.000000,0.000000,0.289462,0.014335,0.411418,0.030102,-0.106289,0.031213,0.389757,0.052383,0.326389,0.052899
no_calibration,8,192,0.410892,0.018628,0.346764,0.016216,0.289108,0.014314,0.588542,0.030025,0.371528,0.053016,0.126736,0.020540,0.001736,0.002400,0.286994,0.014582,0.423366,0.031049,-0.118927,0.032639,0.373264,0.052825,0.315972,0.054744
no_calibration,9,192,0.410590,0.018848,0.346269,0.016432,0.289287,0.014839,0.589410,0.028429,0.369792,0.054502,0.128472,0.025412,0.006076,0.007385,0.288488,0.014814,0.423061,0.032239,-0.119697,0.033224,0.375868,0.054172,0.327257,0.054978
no_cost_model,0,192,0.528768,0.011840,0.234667,0.011196,0.199222,0.008653,0.613715,0.028829,0.761285,0.055305,0.124132,0.020219,0.016493,0.009817,0.289763,0.011252,0.175943,0.021361,0.127521,0.020093,0.777778,0.051477,0.483507,0.048282
no_cost_model,1,192,0.524643,0.011345,0.240579,0.010894,0.202444,0.008353,0.573785,0.030770,0.750868,0.055380,0.108507,0.018657,0.012153,0.007029,0.284200,0.011166,0.183152,0.021069,0.119983,0.019234,0.763021,0.052434,0.458333,0.047089
no_cost_model,2,192,0.534337,0.010770,0.229807,0.010282,0.192841,0.007863,0.597222,0.027541,0.765625,0.054542,0.150174,0.023084,0.027778,0.014135,0.293853,0.010470,0.166470,0.019585,0.138785,0.018247,0.793403,0.048157,0.515625,0.046162
no_cost_model,3,192,0.532203,0.010805,0.228903,0.010030,0.193602,0.007932,0.562500,0.032768,0.764757,0.054386,0.141493,0.020514,0.031250,0.015376,0.295238,0.010449,0.168014,0.019522,0.136045,0.018109,0.796007,0.047254,0.517361,0.043152
no_cost_model,4,192,0.532633,0.011238,0.231113,0.010953,0.194555,0.008226,0.553819,0.031912,0.763021,0.055086,0.156250,0.024558,0.019097,0.009571,0.293633,0.010920,0.169636,0.020531,0.135182,0.019162,0.782118,0.050398,0.519097,0.047626
no_cost_model,5,192,0.531111,0.010675,0.231630,0.010256,0.194252,0.007911,0.554688,0.030531,0.763021,0.054342,0.152778,0.020659,0.020833,0.012182,0.293341,0.010724,0.170727,0.019671,0.133701,0.018018,0.783854,0.049618,0.523438,0.046190
no_cost_model,6,192,0.530256,0.011174,0.232707,0.010861,0.196810,0.008386,0.591146,0.029624,0.756944,0.056155,0.146701,0.025771,0.020833,0.012419,0.292244,0.011294,0.172590,0.021012,0.130840,0.019056,0.777778,0.051703,0.518229,0.047541
no_cost_model,7,192,0.533765,0.010966,0.229472,0.010691,0.193395,0.008156,0.591146,0.029917,0.765625,0.054435,0.159722,0.023493,0.017361,0.009934,0.294691,0.011132,0.167472,0.020235,0.137657,0.018634,0.782986,0.050271,0.525174,0.047231
no_cost_model,8,192,0.530747,0.011716,0.233631,0.011122,0.197522,0.008519,0.588542,0.030025,0.760417,0.056092,0.126736,0.020540,0.018229,0.009139,0.289678,0.011235,0.173079,0.021260,0.131360,0.019861,0.778646,0.051694,0.517361,0.046838
no_cost_model,9,192,0.530681,0.011079,0.230810,0.010762,0.195055,0.008469,0.589410,0.028429,0.768229,0.055268,0.128472,0.025412,0.020833,0.014575,0.292500,0.011402,0.169842,0.020515,0.133522,0.018789,0.789062,0.051216,0.511285,0.048911
no_mechanics_taxonomy,0,192,0.328035,0.010202,0.420954,0.008923,0.342119,0.007790,0.613715,0.028829,0.182292,0.026772,0.124132,0.020219,0.009549,0.006902,0.231574,0.005084,0.563170,0.017581,-0.259705,0.019153,0.191840,0.026351,0.127604,0.020924
no_mechanics_taxonomy,1,192,0.319269,0.009222,0.430769,0.007679,0.348280,0.007411,0.573785,0.030770,0.156250,0.022192,0.108507,0.018657,0.006944,0.005304,0.225696,0.004203,0.579265,0.015535,-0.276130,0.017695,0.163194,0.021840,0.102431,0.016315
no_mechanics_taxonomy,2,192,0.337505,0.010287,0.414473,0.009275,0.333155,0.007754,0.597222,0.027541,0.201389,0.027061,0.150174,0.023084,0.013021,0.008327,0.235471,0.005022,0.546913,0.017692,-0.241659,0.019422,0.214410,0.026385,0.143229,0.022320
no_mechanics_taxonomy,3,192,0.333819,0.008344,0.414421,0.007372,0.335132,0.006941,0.562500,0.032768,0.197917,0.023714,0.141493,0.020514,0.013021,0.007970,0.236143,0.004876,0.551080,0.014445,-0.247021,0.015994,0.210938,0.022851,0.151042,0.020492
no_mechanics_taxonomy,4,192,0.346603,0.010275,0.404804,0.009123,0.327738,0.008275,0.553819,0.031912,0.233507,0.030233,0.156250,0.024558,0.008681,0.005780,0.240907,0.005656,0.530153,0.017763,-0.225335,0.019426,0.242188,0.029426,0.164931,0.023758
no_mechanics_taxonomy,5,192,0.337327,0.009510,0.412486,0.008346,0.331834,0.007408,0.554688,0.030531,0.210069,0.026808,0.152778,0.020659,0.011285,0.006849,0.237605,0.005071,0.545057,0.016428,-0.240629,0.017940,0.221354,0.025889,0.156250,0.020559
no_mechanics_taxonomy,6,192,0.340208,0.009326,0.410326,0.008497,0.333103,0.007737,0.591146,0.029624,0.212674,0.029955,0.146701,0.025771,0.010417,0.007484,0.237450,0.005710,0.540775,0.017475,-0.237344,0.017834,0.223090,0.029398,0.126736,0.019373
no_mechanics_taxonomy,7,192,0.348859,0.009721,0.402679,0.008927,0.325960,0.008202,0.591146,0.029917,0.234375,0.032290,0.159722,0.023493,0.008681,0.006711,0.241429,0.006138,0.525916,0.018037,-0.220786,0.018519,0.243056,0.031715,0.152778,0.021351
no_mechanics_taxonomy,8,192,0.331824,0.008467,0.419301,0.007431,0.339619,0.006743,0.588542,0.030025,0.185764,0.025501,0.126736,0.020540,0.006944,0.004723,0.231376,0.004704,0.557513,0.014770,-0.253074,0.016135,0.192708,0.024914,0.109375,0.018476
no_mechanics_taxonomy,9,192,0.330921,0.009636,0.416535,0.009194,0.337297,0.008346,0.589410,0.028429,0.193576,0.029447,0.128472,0.025412,0.009549,0.008421,0.235157,0.006132,0.555653,0.017901,-0.252290,0.018696,0.203125,0.029389,0.137153,0.023758
no_predicate_refinement,0,192,0.569020,0.014588,0.212718,0.012718,0.180257,0.009634,0.613715,0.028829,0.761285,0.055305,0.124132,0.020219,0.016493,0.009817,0.341294,0.013433,0.137564,0.024438,0.172515,0.023413,0.777778,0.051477,0.732639,0.051059
no_predicate_refinement,1,192,0.564776,0.014394,0.217994,0.012687,0.182900,0.009535,0.573785,0.030770,0.750868,0.055380,0.108507,0.018657,0.012153,0.007029,0.337053,0.013742,0.144506,0.024559,0.165089,0.022995,0.763021,0.052434,0.715278,0.051506
no_predicate_refinement,2,192,0.573919,0.013596,0.209007,0.011840,0.175111,0.008875,0.597222,0.027541,0.765625,0.054542,0.150174,0.023084,0.027778,0.014135,0.343786,0.012737,0.129622,0.022737,0.182225,0.021646,0.793403,0.048157,0.750000,0.048429
no_predicate_refinement,3,192,0.571527,0.013326,0.207749,0.011466,0.175465,0.008840,0.562500,0.032768,0.764757,0.054386,0.141493,0.020514,0.031250,0.015376,0.345791,0.012454,0.131186,0.022381,0.179466,0.021178,0.796007,0.047254,0.747396,0.046777
no_predicate_refinement,4,192,0.570480,0.013946,0.211854,0.012372,0.177866,0.009168,0.553819,0.031912,0.763021,0.055086,0.156250,0.024558,0.019097,0.009571,0.341198,0.013044,0.135094,0.023525,0.176239,0.022414,0.782118,0.050398,0.726562,0.050379
no_predicate_refinement,5,192,0.570260,0.013592,0.210990,0.011890,0.176620,0.008987,0.554688,0.030531,0.763021,0.054342,0.152778,0.020659,0.020833,0.012182,0.342784,0.013066,0.134248,0.022894,0.176750,0.021574,0.783854,0.049618,0.736111,0.049046
no_predicate_refinement,6,192,0.568068,0.014197,0.213395,0.012481,0.179862,0.009467,0.591146,0.029624,0.756944,0.056155,0.146701,0.025771,0.020833,0.012419,0.340254,0.013484,0.137988,0.024144,0.171892,0.022734,0.777778,0.051703,0.720486,0.051118
no_predicate_refinement,7,192,0.571953,0.013732,0.210163,0.012185,0.176645,0.009087,0.591146,0.029917,0.765625,0.054435,0.159722,0.023493,0.017361,0.009934,0.343176,0.013167,0.133069,0.023167,0.178741,0.021965,0.782986,0.050271,0.736979,0.050049
no_predicate_refinement,8,192,0.570137,0.014494,0.212427,0.012654,0.179359,0.009537,0.588542,0.030025,0.760417,0.056092,0.126736,0.020540,0.018229,0.009139,0.340543,0.013491,0.136214,0.024293,0.174763,0.023212,0.778646,0.051694,0.725694,0.050543
no_predicate_refinement,9,192,0.570299,0.013967,0.209286,0.012291,0.176395,0.009424,0.589410,0.028429,0.768229,0.055268,0.128472,0.025412,0.020833,0.014575,0.343415,0.013399,0.132171,0.023669,0.177675,0.022289,0.789062,0.051216,0.745660,0.051115
no_recovery_feasibility_gate,0,192,0.439818,0.018588,0.315222,0.018612,0.255987,0.013060,0.613715,0.028829,0.465278,0.057385,0.124132,0.020219,0.004340,0.003764,0.315961,0.015841,0.363489,0.033570,-0.060024,0.032481,0.469618,0.056797,0.452257,0.056505
no_recovery_feasibility_gate,1,192,0.438030,0.018039,0.319111,0.018317,0.257169,0.012785,0.573785,0.030770,0.453125,0.057717,0.108507,0.018657,0.003472,0.003376,0.312755,0.016011,0.366708,0.033225,-0.063573,0.031499,0.456597,0.057266,0.432292,0.057502
no_recovery_feasibility_gate,2,192,0.446505,0.017900,0.311125,0.018149,0.249764,0.012593,0.597222,0.027541,0.471354,0.056867,0.150174,0.023084,0.011285,0.007652,0.317995,0.015555,0.352590,0.032613,-0.047336,0.031303,0.482639,0.055483,0.460069,0.055301
no_recovery_feasibility_gate,3,192,0.446226,0.017045,0.307432,0.017238,0.249581,0.012284,0.562500,0.032768,0.475694,0.055641,0.141493,0.020514,0.014757,0.008945,0.321294,0.015245,0.350785,0.031243,-0.046726,0.029708,0.490451,0.053791,0.472222,0.054015
no_recovery_feasibility_gate,4,192,0.447688,0.017547,0.309042,0.017778,0.249455,0.012568,0.553819,0.031912,0.483507,0.056037,0.156250,0.024558,0.006076,0.004430,0.318751,0.015409,0.349857,0.032004,-0.045039,0.030752,0.489583,0.055150,0.468750,0.056247
no_recovery_feasibility_gate,5,192,0.445290,0.017552,0.310604,0.017954,0.249356,0.012176,0.554688,0.030531,0.476562,0.056453,0.152778,0.020659,0.006944,0.005827,0.318649,0.015573,0.352657,0.032177,-0.048229,0.030485,0.483507,0.055567,0.467882,0.055692
no_recovery_feasibility_gate,6,192,0.446166,0.017545,0.310241,0.018015,0.251086,0.012617,0.591146,0.029624,0.477431,0.058010,0.146701,0.025771,0.006076,0.004430,0.317742,0.015910,0.351437,0.032712,-0.048006,0.030701,0.483507,0.057168,0.450521,0.056578
no_recovery_feasibility_gate,7,192,0.454581,0.016994,0.302255,0.017420,0.244433,0.012322,0.591146,0.029917,0.500000,0.056679,0.159722,0.023493,0.005208,0.004768,0.323065,0.015513,0.337536,0.031364,-0.032407,0.029733,0.505208,0.055951,0.473090,0.055328
no_recovery_feasibility_gate,8,192,0.440286,0.017817,0.316183,0.018065,0.256411,0.012756,0.588542,0.030025,0.453993,0.057706,0.126736,0.020540,0.008681,0.005780,0.313597,0.015818,0.363866,0.032667,-0.059427,0.031142,0.462674,0.056611,0.436632,0.057577
no_recovery_feasibility_gate,9,192,0.444046,0.018112,0.310089,0.018645,0.250413,0.012970,0.589410,0.028429,0.473090,0.059141,0.128472,0.025412,0.008681,0.007132,0.318958,0.016063,0.353428,0.033607,-0.050065,0.031726,0.481771,0.058166,0.463542,0.057818
v4_abstraction_audit_rules,0,192,0.550418,0.004900,0.198910,0.003410,0.170694,0.003850,0.613715,0.028829,0.871528,0.046838,0.124132,0.020219,0.049479,0.021311,0.358783,0.004118,0.142003,0.003637,0.161462,0.006317,1.000000,0.000000,0.564236,0.053983
v4_abstraction_audit_rules,1,192,0.550928,0.004734,0.199698,0.003412,0.170465,0.004013,0.573785,0.030770,0.873264,0.046871,0.108507,0.018657,0.050347,0.021339,0.358989,0.004024,0.141542,0.003443,0.161593,0.006454,1.000000,0.000000,0.550347,0.053414
v4_abstraction_audit_rules,2,192,0.552499,0.004385,0.198905,0.003389,0.169000,0.003854,0.597222,0.027541,0.872396,0.046855,0.150174,0.023084,0.058160,0.023115,0.358970,0.004018,0.140568,0.003135,0.164686,0.006116,1.000000,0.000000,0.571181,0.052880
v4_abstraction_audit_rules,3,192,0.552553,0.004742,0.197958,0.003366,0.169079,0.003819,0.562500,0.032768,0.871528,0.046838,0.141493,0.020514,0.061632,0.025459,0.360795,0.004346,0.139593,0.003535,0.164466,0.006454,1.000000,0.000000,0.571181,0.051486
v4_abstraction_audit_rules,4,192,0.549611,0.004783,0.199129,0.003341,0.169574,0.003873,0.553819,0.031912,0.869792,0.046804,0.156250,0.024558,0.047743,0.020416,0.358029,0.003836,0.143168,0.003393,0.161650,0.006295,1.000000,0.000000,0.572049,0.052108
v4_abstraction_audit_rules,5,192,0.550671,0.004689,0.199098,0.003342,0.168846,0.003786,0.554688,0.030531,0.872396,0.046855,0.152778,0.020659,0.054688,0.023657,0.359345,0.004002,0.141728,0.003450,0.162700,0.006221,1.000000,0.000000,0.585938,0.052687
v4_abstraction_audit_rules,6,192,0.551351,0.004546,0.199206,0.003442,0.170507,0.003917,0.591146,0.029624,0.872396,0.046855,0.146701,0.025771,0.057292,0.023594,0.359090,0.003897,0.141202,0.003370,0.162229,0.006404,1.000000,0.000000,0.564236,0.053004
v4_abstraction_audit_rules,7,192,0.550998,0.004670,0.198227,0.003278,0.169136,0.004015,0.591146,0.029917,0.872396,0.046855,0.159722,0.023493,0.047743,0.021391,0.358857,0.004075,0.141601,0.003410,0.163529,0.006105,1.000000,0.000000,0.572049,0.054296
v4_abstraction_audit_rules,8,192,0.550910,0.004905,0.198818,0.003408,0.170261,0.003932,0.588542,0.030025,0.867188,0.046750,0.126736,0.020540,0.054688,0.023902,0.358255,0.004079,0.141898,0.003681,0.162541,0.006678,1.000000,0.000000,0.572049,0.051434
