stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6740,0.0124
0.0,conformal_risk_filter,0.7088,0.0202
0.0,proposed_branch_mechanism,0.7519,0.0208
0.0,oracle_branch_upper_bound,0.8060,0.0173
0.2,scalar_uncertainty_planner,0.6231,0.0163
0.2,conformal_risk_filter,0.6562,0.0201
0.2,proposed_branch_mechanism,0.7214,0.0203
0.2,oracle_branch_upper_bound,0.7848,0.0194
0.4,scalar_uncertainty_planner,0.5645,0.0168
0.4,conformal_risk_filter,0.6083,0.0212
0.4,proposed_branch_mechanism,0.6938,0.0215
0.4,oracle_branch_upper_bound,0.7631,0.0166
0.6,scalar_uncertainty_planner,0.5105,0.0207
0.6,conformal_risk_filter,0.5629,0.0218
0.6,proposed_branch_mechanism,0.6671,0.0224
0.6,oracle_branch_upper_bound,0.7421,0.0164
0.8,scalar_uncertainty_planner,0.4581,0.0191
0.8,conformal_risk_filter,0.5214,0.0239
0.8,proposed_branch_mechanism,0.6426,0.0224
0.8,oracle_branch_upper_bound,0.7200,0.0161
1.0,scalar_uncertainty_planner,0.4014,0.0234
1.0,conformal_risk_filter,0.4724,0.0151
1.0,proposed_branch_mechanism,0.6143,0.0201
1.0,oracle_branch_upper_bound,0.6976,0.0154
