uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,"Vision-Language-Action (VLA) models integrate visual perception, natural language understanding, and embodied control into a unified framework, enabling end-to-end task execution from multimodal instructions. While such models have demonstrated impressive generalization across tasks and environments, their direct outputs—often in the form of discrete action tokens or waypoint sequences—frequently overlook key physical constraints, such as trajectory feasibility, collision avoidance, and dynamic consistency. This limitation hinders deployment in safety-critical and dynamic real-world settings. Integrating motion planning into VLA systems offers a principled solution, embedding geometric and dynamic constraints into the control pipeline to transform high-level semantic goals into safe, smooth, and executable trajectories. This work examines representative integration strategies alongside t",2025,Applied and Computational Engineering,Jianfeng Pang,10.54254/2755-2721/2025.ast27134,,https://doi.org/10.54254/2755-2721/2025.ast27134,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; motion planning; limitation; generalization; deployment,2026-06-12T14:45:03Z,22.000,31.000
arxiv:2303.04912v2,Embodied Active Learning of Relational State Abstractions for Bilevel Planning,"State abstraction is an effective technique for planning in robotics environments with continuous states and actions, long task horizons, and sparse feedback. In object-oriented environments, predicates are a particularly useful form of state abstraction because of their compatibility with symbolic planners and their capacity for relational generalization. However, to plan with predicates, the agent must be able to interpret them in continuous environment states (i.e., ground the symbols). Manually programming predicate interpretations can be difficult, so we would instead like to learn them from data. We propose an embodied active learning paradigm where the agent learns predicate interpretations through online interaction with an expert. For example, after taking actions in a block stacking environment, the agent may ask the expert: ""Is On(block1, block2) true?"" From this experience, t",2023,arXiv,Amber Li; Tom Silver,,2303.04912v2,http://arxiv.org/abs/2303.04912v2,arxiv,robot planning without learning,anti_myopia,anti_thesis,,,generalization; sample efficiency; robot planning without learning,2026-06-12T15:07:36Z,26.750,30.750
arxiv:2410.23156v2,VisualPredicator: Learning Abstract World Models with Neuro-Symbolic Predicates for Robot Planning,"Broadly intelligent agents should form task-specific abstractions that selectively expose the essential elements of a task, while abstracting away the complexity of the raw sensorimotor space. In this work, we present Neuro-Symbolic Predicates, a first-order abstraction language that combines the strengths of symbolic and neural knowledge representations. We outline an online algorithm for inventing such predicates and learning abstract world models. We compare our approach to hierarchical reinforcement learning, vision-language model planning, and symbolic predicate invention approaches, on both in- and out-of-distribution tasks across five simulated robotic domains. Results show that our approach offers better sample complexity, stronger out-of-distribution generalization, and improved interpretability.",2024,arXiv,Yichao Liang; Nishanth Kumar; Hao Tang; Adrian Weller; Joshua B. Tenenbaum; Tom Silver; João F. Henriques; Kevin Ellis,,2410.23156v2,http://arxiv.org/abs/2410.23156v2,arxiv,robot world model failure planning,hostile,failure,,,robot world model; generalization; out of distribution; robot world model failure,2026-06-12T14:45:03Z,24.350,30.350
doi:10.66279/292sm294,Vision Language Action Models for Embodied Intelligence A Structured Taxonomy Critical Analysis and Future Research Directions,"Vision-Language-Action (VLA) models have emerged as a transformative paradigm in Embodied Artificial Intelligence by unifying visual perception, linguistic reasoning, and physical control within a single cohesive computational framework. By leveraging the semantic reasoning capabilities of large pre-trained Vision-Language Models (VLMs), VLA architectures promise to transition robotic systems from specialized, single-task agents to generalist robots capable of following natural language instructions in unstructured environments. This work provides a comprehensive review of the rapidly evolving VLA landscape, offering a structured taxonomy of state-of-the-art architectures ranging from unified transformer-based policies such as RT-2 and OpenVLA to emerging diffusion-based action generation methods. Key technical innovations driving the field are critically analyzed, including the integrat",2026,Computational Discovery and Intelligent Systems (CDIS),Ola Farid; Hamdi A. Mahmoud,10.66279/292sm294,,https://doi.org/10.66279/292sm294,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; generalization; deployment; long horizon,2026-06-12T15:07:36Z,22.300,29.300
doi:10.66967/jaics.2026.v2i103,Multimodal AI: PaLM-E’s Role in Vision–Language–Robotics & the Future of Efficient Fine-Tuning,"The convergence of vision, language, and robotics represents a critical step toward building embodied artificial intelligence systems capable of robust perception, reasoning, and action in real-world environments. This study presents a structured and analytical investigation of PaLM-E, an embodied multimodal language model, examining its role in unifying vision–language reasoning with robotic control across diverse task settings. Rather than proposing a new architecture, the work contributes a systematic synthesis and critical evaluation of PaLM-E’s capabilities, highlighting its zero-shot generalization, long-horizon task planning, and multimodal reasoning through comparative analysis with existing vision–language and robotic frameworks. In parallel, the study analyzes Parameter-Efficient Fine-Tuning (PEFT) strategies—focusing on Low-Rank Adaptation (LoRA) and Quantized Low-Rank Adaptat",2026,Journal of Artificial Intelligence & Control Systems,,10.66967/jaics.2026.v2i103,,https://doi.org/10.66967/jaics.2026.v2i103,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; generalization; deployment; long horizon,2026-06-12T14:45:03Z,19.000,28.000
arxiv:2512.03913v1,Hierarchical Vision Language Action Model Using Success and Failure Demonstrations,"Prior Vision-Language-Action (VLA) models are typically trained on teleoperated successful demonstrations, while discarding numerous failed attempts that occur naturally during data collection. However, these failures encode where and how policies can be fragile, information that can be exploited to improve robustness. We address this problem by leveraging mixed-quality datasets to learn failure-aware reasoning at planning time. We introduce VINE, a hierarchical vision-language-action model that separates high-level reasoning (System 2) from low-level control (System 1) under a hierarchical reinforcement learning formalism, making failures usable as a structured learning signal rather than noisy supervision. System 2 performs feasibility-guided tree search over a 2D scene-graph abstraction: it proposes subgoal transitions, predicts success probabilities from both successes and failures, ",2025,arXiv,Jeongeun Park; Jihwan Yoon; Byungwoo Jeon; Juhan Park; Jinwoo Shin; Namhoon Cho; Kyungjae Lee; Sangdoo Yun; Sungjoon Choi,,2512.03913v1,http://arxiv.org/abs/2512.03913v1,arxiv,vision language action model failure,anti_myopia,anti_thesis,,,vision language action model; teleoperation; robustness; vision language action model failure,2026-06-12T15:07:36Z,22.150,27.150
arxiv:2508.15201v2,Survey of Vision-Language-Action Models for Embodied Manipulation,"Embodied intelligence systems, which enhance agent capabilities through continuous environment interactions, have garnered significant attention from both academia and industry. Vision-Language-Action models, inspired by advancements in large foundation models, serve as universal robotic control frameworks that substantially improve agent-environment interaction capabilities in embodied intelligence systems. This expansion has broadened application scenarios for embodied AI robots. This survey comprehensively reviews VLA models for embodied manipulation. Firstly, it chronicles the developmental trajectory of VLA architectures. Subsequently, we conduct a detailed analysis of current research across 5 critical dimensions: VLA model structures, training datasets, pre-training methods, post-training methods, and model evaluation. Finally, we synthesize key challenges in VLA development and r",2025,arXiv,Haoran Li; Yuhui Chen; Wenbo Cui; Weiheng Liu; Kai Liu; Mingcai Zhou; Zhengtao Zhang; Dongbin Zhao,,2508.15201v2,http://arxiv.org/abs/2508.15201v2,arxiv,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; deployment,2026-06-12T14:45:03Z,19.850,26.850
arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,"Robust robotic manipulation requires reliable failure detection and recovery. Although recent Vision-Language Models (VLMs) show promise in robot failure detection, their generalization is severely limited by the scarcity and narrow coverage of failure data. To address this bottleneck, we propose an automatic framework for generating diverse robotic planning and execution failures across both simulated and real-world environments. Our approach perturbs successful manipulation trajectories to synthesize failures that reflect realistic failure distributions, and leverages VLMs to produce structured step-by-step reasoning traces. This yields FailCoT, a large-scale failure reasoning dataset built upon the RLBench simulator and the BridgeDataV2 real-robot dataset. Using FailCoT, we train Guardian, a multi-view reasoning VLM for unified planning and execution verification. Guardian achieves st",2025,arXiv,Paul Pacaud; Ricardo Garcia; Shizhe Chen; Cordelia Schmid,,2512.01946v3,http://arxiv.org/abs/2512.01946v3,arxiv,robot world model failure planning,hostile,failure,,,robot world model; failure detection; benchmark; generalization; deployment; robot world model failure,2026-06-12T14:45:03Z,17.850,26.850
arxiv:2512.02161v1,FineGRAIN: Evaluating Failure Modes of Text-to-Image Models with Vision Language Model Judges,"Text-to-image (T2I) models are capable of generating visually impressive images, yet they often fail to accurately capture specific attributes in user prompts, such as the correct number of objects with the specified colors. The diversity of such errors underscores the need for a hierarchical evaluation framework that can compare prompt adherence abilities of different image generation models. Simultaneously, benchmarks of vision language models (VLMs) have not kept pace with the complexity of scenes that VLMs are used to annotate. In this work, we propose a structured methodology for jointly evaluating T2I models and VLMs by testing whether VLMs can identify 27 specific failure modes in the images generated by T2I models conditioned on challenging prompts. Our second contribution is a dataset of prompts and images generated by 5 T2I models (Flux, SD3-Medium, SD3-Large, SD3.5-Medium, SD3",2025,arXiv,Kevin David Hayes; Micah Goldblum; Vikash Sehwag; Gowthami Somepalli; Ashwinee Panda; Tom Goldstein,,2512.02161v1,http://arxiv.org/abs/2512.02161v1,arxiv,vision language action model failure,anti_myopia,anti_thesis,,,vision language action model; failure mode; benchmark; vision language action model failure,2026-06-12T15:07:36Z,20.450,26.450
doi:10.1109/cai68641.2026.11536235,A System-Level Taxonomy of Failure Modes in Large Language Model Applications,,2026,2026 IEEE Conference on Artificial Intelligence (CAI),Vaishali Vinay,10.1109/cai68641.2026.11536235,,https://doi.org/10.1109/cai68641.2026.11536235,crossref,large language model limitation robot planning,anti_myopia,anti_thesis,,,failure mode; limitation; large language model limitation robot planning,2026-06-12T15:07:36Z,21.200,26.200
